race_id,category_type,umaban,category_label,win_1st,win_2nd,win_3rd,win_out,runs,win_rate,place2_rate,place3_rate,win_return_rate,place_return_rate,horse_id,horse_name
202604030110,waku,1,1枠,6,5,10,86,107,5%,10%,19%,58%,66%,2021105473,ラヴスコール
202604030110,waku,2,2枠,9,5,7,92,113,7%,12%,18%,33%,41%,2023106836,アドマイヤウルトラ
202604030110,waku,3,2枠,9,5,7,92,113,7%,12%,18%,33%,41%,2022105339,スピリットサージ
202604030110,waku,4,3枠,7,13,7,91,118,5%,16%,22%,97%,106%,2023106747,ダイヤテソーロ
202604030110,waku,5,3枠,7,13,7,91,118,5%,16%,22%,97%,106%,2020103727,ゴールドシーン
202604030110,waku,6,4枠,11,11,9,96,127,8%,17%,24%,90%,110%,2021105596,シトラール
202604030110,waku,7,4枠,11,11,9,96,127,8%,17%,24%,90%,110%,2022100511,サザンティスプーン
202604030110,waku,8,5枠,9,15,8,106,138,6%,17%,23%,57%,86%,2022103394,ドルビナ
202604030110,waku,9,5枠,9,15,8,106,138,6%,17%,23%,57%,86%,2023103980,ポペット
202604030110,waku,10,6枠,9,12,14,110,145,6%,14%,24%,29%,75%,2022104746,サトノビーツ
202604030110,waku,11,6枠,9,12,14,110,145,6%,14%,24%,29%,75%,2023106468,ガミーヌ
202604030110,waku,12,7枠,14,12,10,131,167,8%,15%,21%,48%,95%,2022105130,スターエンブレム
202604030110,waku,13,7枠,14,12,10,131,167,8%,15%,21%,48%,95%,2023107078,スマイルカーブ
202604030110,waku,14,8枠,15,7,12,137,171,8%,12%,19%,102%,53%,2023103917,タイセイアストロ
202604030110,waku,15,8枠,15,7,12,137,171,8%,12%,19%,102%,53%,2022104179,ツインピークス
202604030110,running_style,1,差,33,39,26,289,387,8%,18%,25%,89%,105%,2021105473,ラヴスコール
202604030110,running_style,2,差,33,39,26,289,387,8%,18%,25%,89%,105%,2023106836,アドマイヤウルトラ
202604030110,running_style,3,差,33,39,26,289,387,8%,18%,25%,89%,105%,2022105339,スピリットサージ
202604030110,running_style,4,逃,13,12,6,48,79,16%,31%,39%,85%,138%,2023106747,ダイヤテソーロ
202604030110,running_style,5,差,33,39,26,289,387,8%,18%,25%,89%,105%,2020103727,ゴールドシーン
202604030110,running_style,6,差,33,39,26,289,387,8%,18%,25%,89%,105%,2021105596,シトラール
202604030110,running_style,7,先,27,22,29,202,280,9%,17%,27%,94%,92%,2022100511,サザンティスプーン
202604030110,running_style,8,差,33,39,26,289,387,8%,18%,25%,89%,105%,2022103394,ドルビナ
202604030110,running_style,9,追,7,7,16,309,339,2%,4%,8%,8%,25%,2023103980,ポペット
202604030110,running_style,10,先,27,22,29,202,280,9%,17%,27%,94%,92%,2022104746,サトノビーツ
202604030110,running_style,11,先,27,22,29,202,280,9%,17%,27%,94%,92%,2023106468,ガミーヌ
202604030110,running_style,12,差,33,39,26,289,387,8%,18%,25%,89%,105%,2022105130,スターエンブレム
202604030110,running_style,13,追,7,7,16,309,339,2%,4%,8%,8%,25%,2023107078,スマイルカーブ
202604030110,running_style,14,差,33,39,26,289,387,8%,18%,25%,89%,105%,2023103917,タイセイアストロ
202604030110,running_style,15,差,33,39,26,289,387,8%,18%,25%,89%,105%,2022104179,ツインピークス
202604030110,jockey,1,斎藤新,1,3,1,19,24,4%,16%,20%,103%,48%,2021105473,ラヴスコール
202604030110,jockey,2,坂井瑠星,1,1,2,6,10,10%,20%,40%,60%,73%,2023106836,アドマイヤウルトラ
202604030110,jockey,3,江田照男,0,2,1,13,16,0%,12%,18%,0%,68%,2022105339,スピリットサージ
202604030110,jockey,4,富田暁,1,0,0,11,12,8%,8%,8%,50%,13%,2023106747,ダイヤテソーロ
202604030110,jockey,5,大野拓弥,0,2,1,18,21,0%,9%,14%,0%,48%,2020103727,ゴールドシーン
202604030110,jockey,6,丸山元気,2,4,1,27,34,5%,17%,20%,34%,43%,2021105596,シトラール
202604030110,jockey,7,石田拓郎,0,1,0,13,14,0%,7%,7%,0%,69%,2022100511,サザンティスプーン
202604030110,jockey,8,木幡初也,0,0,1,2,3,0%,0%,33%,0%,150%,2022103394,ドルビナ
202604030110,jockey,9,永島まなみ,1,1,1,14,17,5%,11%,17%,8%,28%,2023103980,ポペット
202604030110,jockey,10,野中悠太郎,0,1,0,9,10,0%,10%,10%,0%,17%,2022104746,サトノビーツ
202604030110,jockey,11,武藤雅,1,0,2,16,19,5%,5%,15%,242%,58%,2023106468,ガミーヌ
202604030110,jockey,12,酒井学,0,0,1,5,6,0%,0%,16%,0%,108%,2022105130,スターエンブレム
202604030110,jockey,13,菊沢一樹,3,1,3,30,37,8%,10%,18%,139%,71%,2023107078,スマイルカーブ
202604030110,jockey,14,石川裕紀人,1,2,3,25,31,3%,9%,19%,20%,64%,2023103917,タイセイアストロ
202604030110,jockey,15,田辺裕信,2,3,1,16,22,9%,22%,27%,51%,112%,2022104179,ツインピークス
202604030110,trainer,1,加藤征弘,0,0,1,2,3,0%,0%,33%,0%,60%,2021105473,ラヴスコール
202604030110,trainer,2,宮田敬介,4,0,1,12,17,23%,23%,29%,128%,57%,2023106836,アドマイヤウルトラ
202604030110,trainer,3,室井潔,0,0,0,1,1,0%,0%,0%,0%,0%,2022105339,スピリットサージ
202604030110,trainer,4,牧光二,0,0,2,12,14,0%,0%,14%,0%,69%,2023106747,ダイヤテソーロ
202604030110,trainer,5,林徹,1,0,0,5,6,16%,16%,16%,95%,28%,2020103727,ゴールドシーン
202604030110,trainer,6,古賀大生,0,0,0,1,1,0%,0%,0%,0%,0%,2021105596,シトラール
202604030110,trainer,7,鈴木伸尋,0,0,0,4,4,0%,0%,0%,0%,0%,2022100511,サザンティスプーン
202604030110,trainer,8,杉浦宏昭,0,0,0,9,9,0%,0%,0%,0%,0%,2022103394,ドルビナ
202604030110,trainer,9,高橋康之,0,0,0,4,4,0%,0%,0%,0%,0%,2023103980,ポペット
202604030110,trainer,10,田中博康,1,2,2,6,11,9%,27%,45%,11%,53%,2022104746,サトノビーツ
202604030110,trainer,11,水野貴広,1,0,1,5,7,14%,14%,28%,657%,131%,2023106468,ガミーヌ
202604030110,trainer,12,林徹,1,0,0,5,6,16%,16%,16%,95%,28%,2022105130,スターエンブレム
202604030110,trainer,13,小手川準,0,1,0,5,6,0%,16%,16%,0%,73%,2023107078,スマイルカーブ
202604030110,trainer,14,森一誠,0,2,0,3,5,0%,40%,40%,0%,170%,2023103917,タイセイアストロ
202604030110,trainer,15,千葉直人,1,0,0,3,4,25%,25%,25%,998%,170%,2022104179,ツインピークス
202604030110,sire,1,ドゥラメンテ,2,1,1,14,18,11%,16%,22%,33%,33%,2021105473,ラヴスコール
202604030110,sire,2,リオンディーズ,3,3,0,18,24,12%,25%,25%,70%,56%,2023106836,アドマイヤウルトラ
202604030110,sire,3,ブリックスアンドモルタル,3,3,1,17,24,12%,25%,29%,39%,62%,2022105339,スピリットサージ
202604030110,sire,4,ダノンバラード,0,1,1,9,11,0%,9%,18%,0%,64%,2023106747,ダイヤテソーロ
202604030110,sire,5,エピファネイア,6,4,6,35,51,11%,19%,31%,49%,69%,2020103727,ゴールドシーン
202604030110,sire,6,スワーヴリチャード,3,0,1,10,14,21%,21%,28%,156%,89%,2021105596,シトラール
202604030110,sire,7,アニマルキングダム,0,0,0,1,1,0%,0%,0%,0%,0%,2022100511,サザンティスプーン
202604030110,sire,8,ミッキーグローリー,0,0,0,3,3,0%,0%,0%,0%,0%,2022103394,ドルビナ
202604030110,sire,9,サトノクラウン,1,0,1,11,13,7%,7%,15%,119%,397%,2023103980,ポペット
202604030110,sire,10,ドゥラメンテ,2,1,1,14,18,11%,16%,22%,33%,33%,2022104746,サトノビーツ
202604030110,sire,11,フィエールマン,1,3,1,5,10,10%,40%,50%,460%,237%,2023106468,ガミーヌ
202604030110,sire,12,ロードカナロア,3,4,6,33,46,6%,15%,28%,87%,85%,2022105130,スターエンブレム
202604030110,sire,13,キズナ,3,3,1,31,38,7%,15%,18%,26%,30%,2023107078,スマイルカーブ
202604030110,sire,14,ミッキーアイル,1,5,1,12,19,5%,31%,36%,46%,147%,2023103917,タイセイアストロ
202604030110,sire,15,ミスターメロディ,2,1,0,4,7,28%,42%,42%,293%,107%,2022104179,ツインピークス
202604030110,broodmare_sire,1,Firebreak,0,1,0,0,1,0%,100%,100%,0%,110%,2021105473,ラヴスコール
202604030110,broodmare_sire,2,ディープインパクト,9,5,7,65,86,10%,16%,24%,104%,64%,2023106836,アドマイヤウルトラ
202604030110,broodmare_sire,3,Refuse to Bend,0,1,0,1,2,0%,50%,50%,0%,60%,2022105339,スピリットサージ
202604030110,broodmare_sire,4,A.P. Indy,0,0,0,0,0,0%,0%,0%,0%,0%,2023106747,ダイヤテソーロ
202604030110,broodmare_sire,5,ダイワメジャー,3,1,2,23,29,10%,13%,20%,60%,49%,2020103727,ゴールドシーン
202604030110,broodmare_sire,6,Awesome Again,0,0,0,0,0,0%,0%,0%,0%,0%,2021105596,シトラール
202604030110,broodmare_sire,7,ゴールドアリュール,0,0,0,1,1,0%,0%,0%,0%,0%,2022100511,サザンティスプーン
202604030110,broodmare_sire,8,カジノドライヴ,0,0,0,0,0,0%,0%,0%,0%,0%,2022103394,ドルビナ
202604030110,broodmare_sire,9,エピファネイア,0,1,0,1,2,0%,50%,50%,0%,90%,2023103980,ポペット
202604030110,broodmare_sire,10,Le Havre,1,0,0,1,2,50%,50%,50%,215%,90%,2022104746,サトノビーツ
202604030110,broodmare_sire,11,スターオブコジーン,1,0,1,0,2,50%,50%,100%,2300%,460%,2023106468,ガミーヌ
202604030110,broodmare_sire,12,Sadler's Wells,0,0,0,1,1,0%,0%,0%,0%,0%,2022105130,スターエンブレム
202604030110,broodmare_sire,13,チチカステナンゴ,0,1,0,6,7,0%,14%,14%,0%,23%,2023107078,スマイルカーブ
202604030110,broodmare_sire,14,ネオユニヴァース,0,0,2,10,12,0%,0%,16%,0%,36%,2023103917,タイセイアストロ
202604030110,broodmare_sire,15,キングカメハメハ,5,6,4,39,54,9%,20%,27%,31%,76%,2022104179,ツインピークス
202604030110,speed_index,1,指数偏差値40,2,5,2,72,81,3%,9%,11%,57%,52%,2021105473,ラヴスコール
202604030110,speed_index,2,指数偏差値30,2,0,1,47,50,4%,4%,6%,83%,24%,2023106836,アドマイヤウルトラ
202604030110,speed_index,3,指数偏差値40,2,5,2,72,81,3%,9%,11%,57%,52%,2022105339,スピリットサージ
202604030110,speed_index,4,指数偏差値60,31,20,22,180,253,12%,20%,29%,73%,72%,2023106747,ダイヤテソーロ
202604030110,speed_index,5,指数偏差値65,21,18,18,71,128,16%,31%,45%,125%,87%,2020103727,ゴールドシーン
202604030110,speed_index,6,-,-,-,-,-,-,-,-,-,-,-,2021105596,シトラール
202604030110,speed_index,7,指数偏差値65,21,18,18,71,128,16%,31%,45%,125%,87%,2022100511,サザンティスプーン
202604030110,speed_index,8,指数偏差値55,18,26,25,215,284,6%,16%,24%,49%,70%,2022103394,ドルビナ
202604030110,speed_index,9,指数偏差値55,18,26,25,215,284,6%,16%,24%,49%,70%,2023103980,ポペット
202604030110,speed_index,10,-,-,-,-,-,-,-,-,-,-,-,2022104746,サトノビーツ
202604030110,speed_index,11,指数偏差値45,1,6,6,108,121,1%,6%,11%,49%,51%,2023106468,ガミーヌ
202604030110,speed_index,12,指数偏差値55,18,26,25,215,284,6%,16%,24%,49%,70%,2022105130,スターエンブレム
202604030110,speed_index,13,指数偏差値50,8,9,8,171,196,4%,9%,13%,54%,91%,2023107078,スマイルカーブ
202604030110,speed_index,14,指数偏差値50,8,9,8,171,196,4%,9%,13%,54%,91%,2023103917,タイセイアストロ
202604030110,speed_index,15,指数偏差値60,31,20,22,180,253,12%,20%,29%,73%,72%,2022104179,ツインピークス
