race_id,category_type,umaban,category_label,win_1st,win_2nd,win_3rd,win_out,runs,win_rate,place2_rate,place3_rate,win_return_rate,place_return_rate,horse_id,horse_name
202654072611,waku,1,1枠,137,167,159,1096,1559,8%,19%,29%,69%,71%,2020106620,ラージフィールド
202654072611,waku,2,2枠,156,152,162,1081,1551,10%,19%,30%,89%,67%,2022102177,トーケンクミー
202654072611,waku,3,3枠,149,147,178,1086,1560,9%,18%,30%,52%,71%,2022107331,ハンドレインジ
202654072611,waku,4,4枠,141,163,156,1101,1561,9%,19%,29%,63%,63%,2021106726,トドイワウィンド
202654072611,waku,5,5枠,191,182,182,1481,2036,9%,18%,27%,94%,66%,2019101531,アウゲンブリック
202654072611,waku,6,5枠,191,182,182,1481,2036,9%,18%,27%,94%,66%,2022103934,リライトヒストリー
202654072611,waku,7,6枠,207,233,216,1678,2334,8%,18%,28%,72%,68%,2022101725,ドゥラルーナ
202654072611,waku,8,6枠,207,233,216,1678,2334,8%,18%,28%,72%,68%,2021104331,ダンスショウ
202654072611,waku,9,7枠,261,239,248,1925,2673,9%,18%,27%,82%,70%,2022105499,プリンセスロロ
202654072611,waku,10,7枠,261,239,248,1925,2673,9%,18%,27%,82%,70%,2017101679,ヴィクトリーナイト
202654072611,waku,11,8枠,356,310,294,1934,2894,12%,23%,33%,92%,80%,2021103251,フォートポータル
202654072611,waku,12,8枠,356,310,294,1934,2894,12%,23%,33%,92%,80%,2017102250,ブラウナイル
202654072611,running_style,1,追,223,251,309,3577,4360,5%,10%,17%,77%,58%,2020106620,ラージフィールド
202654072611,running_style,2,差,910,943,965,6081,8899,10%,20%,31%,84%,75%,2022102177,トーケンクミー
202654072611,running_style,3,差,910,943,965,6081,8899,10%,20%,31%,84%,75%,2022107331,ハンドレインジ
202654072611,running_style,4,先,299,289,238,1188,2014,14%,29%,41%,65%,77%,2021106726,トドイワウィンド
202654072611,running_style,5,差,910,943,965,6081,8899,10%,20%,31%,84%,75%,2019101531,アウゲンブリック
202654072611,running_style,6,差,910,943,965,6081,8899,10%,20%,31%,84%,75%,2022103934,リライトヒストリー
202654072611,running_style,7,差,910,943,965,6081,8899,10%,20%,31%,84%,75%,2022101725,ドゥラルーナ
202654072611,running_style,8,差,910,943,965,6081,8899,10%,20%,31%,84%,75%,2021104331,ダンスショウ
