year,venue,kai,date,weekday,day_label,turf_course_variant,cushion_time,cushion_value,moisture_time,moisture_turf_goal_pct,moisture_turf_corner4_pct,moisture_dirt_goal_pct,moisture_dirt_corner4_pct
2025,新潟,01,2025-05-02,金曜日,,B,10:30,9.9,10:30,10.0,12.0,5.2,4.2
2025,新潟,01,2025-05-03,土曜日,第 1日,B,07:00,9.5,05:30,11.2,13.6,8.1,8.9
2025,新潟,01,2025-05-04,日曜日,第 2日,B,07:00,8.8,05:30,12.6,14.7,9.2,10.1
2025,新潟,01,2025-05-09,金曜日,,B,10:30,9.7,10:30,11.3,12.8,5.3,6.2
2025,新潟,01,2025-05-10,土曜日,第 3日,B,07:00,9.0,05:30,13.1,15.7,7.6,8.6
2025,新潟,01,2025-05-11,日曜日,第 4日,B,07:00,9.1,05:30,13.2,15.7,7.4,11.7
2025,新潟,01,2025-05-16,金曜日,,B,10:30,9.3,10:30,10.0,13.4,4.1,4.1
2025,新潟,01,2025-05-17,土曜日,第 5日,B,07:00,10.0,05:30,10.6,12.6,3.2,3.4
2025,新潟,01,2025-05-18,日曜日,第 6日,B,07:00,9.0,05:30,13.1,13.5,7.4,7.4
2025,新潟,01,2025-05-23,金曜日,,B,10:30,9.3,10:30,11.1,13.9,6.2,6.7
2025,新潟,01,2025-05-24,土曜日,第 7日,B,07:00,9.7,05:30,10.4,12.6,5.2,6.5
2025,新潟,01,2025-05-25,日曜日,第 8日,B,07:00,9.0,05:30,13.3,13.9,8.5,8.5
