venue_code,venue,turn_direction,turf_straight_m,turf_elevation_m,turf_circumference_m,turf_width_m,turf_available_distances_m,dirt_circumference_m,dirt_width_m,dirt_straight_m,dirt_elevation_m,dirt_available_distances_m,notes,source_url
01,札幌,右回り,266.1,0.7,1640.9,25〜27,1000;1200;1500;1800;2000;2600,1487,20,264.3,0.9,1000;1700;2400,,https://www.jra.go.jp/facilities/race/sapporo/course/index.html
02,函館,右回り,262.1,3.5,1626.6,29,1000;1200;1700;1800;2000;2600,1475.8,20,260.3,3.5,1000;1700;2400,,https://www.jra.go.jp/facilities/race/hakodate/course/index.html
03,福島,右回り,292.0,1.9,1600,25〜27,1000;1200;1700;1800;2000;2600,1444.6,20〜25,295.7,2.1,1000;1150;1700;2400,障害コースに襷コース(490.9m)あり,https://www.jra.go.jp/facilities/race/fukushima/course/index.html
04,新潟,左回り,658.7,2.2,2223,25,1400(外);1600(外);1800(外);2000(外);3000(外);3200(外),1472.5,20,353.9,0.6,1000;1200;1700;1800;2500,芝は内回り(直線358.7m/高低差0.8m/周長1623m)・外回り(直線658.7m/高低差2.2m/周長2223m、turf_*列は外回り代表値)・直線1000m専用コースの3種構成。内回り発走距離は1200;1400;2000;2200;2400,https://www.jra.go.jp/facilities/race/niigata/course/index.html
05,東京,左回り,525.9,2.7,2083.1,31〜41,1400;1600;1800;2000;2300;2400;2500;2600;3400,1899,25,501.6,2.5,1200;1300;1400;1600;2100;2400,,https://www.jra.go.jp/facilities/race/tokyo/course/index.html
06,中山,右回り,310,5.3,1839.7,24〜32,1200(外);1600(外);1800(内);2000(内);2200(外);2500(内);2600(外);3200(外・内);3600(内);4000(外),1493,20〜25,308,4.5,1000;1200;1700;1800;2400;2500,芝は内回り(周長1667.1m)・外回り(周長1839.7m、turf_circumference_m列は外回り代表値)の2コース、直線・高低差も外回り基準,https://www.jra.go.jp/facilities/race/nakayama/course/index.html
07,中京,左回り,412.5,3.5,1705.9,28〜30,1200;1300;1400;1600;2000;2200;3000,1530,25,410.7,3.4,1200;1400;1800;1900;2500,,https://www.jra.go.jp/facilities/race/chukyo/course/index.html
08,京都,右回り,403.7,4.3,1894.3,24〜38,1400(内・外);1600(内・外);1800(外);2000(内・外);2200(外);2400(外);3000(外);3200(外),1607.6,25,329.1,3.0,1000;1100;1200;1400;1800;1900;2600,芝は内回り(直線328.4m/高低差3.1m/周長1782.8m)・外回り(直線403.7m/高低差4.3m/周長1894.3m、turf_*列は外回り代表値)の2コース。内回り限定発走距離は1100;1200,https://www.jra.go.jp/facilities/race/kyoto/course/index.html
09,阪神,右回り,473.6,2.4,2089,24〜29,1400;1600;1800;2400;2600,1517.6,22〜25,352.7,1.6,1200;1400;1800;2000;2600,芝は内回り(直線356.5m/高低差1.9m/周長1689m)・外回り(直線473.6m/高低差2.4m/周長2089m、turf_*列は外回り代表値)の2コース。内回り限定発走距離は1200,https://www.jra.go.jp/facilities/race/hanshin/course/index.html
10,小倉,右回り,293,3.0,1615.1,30,1000;1200;1700;1800;2000;2600,1445.4,24,291.3,2.9,1000;1700;2400,,https://www.jra.go.jp/facilities/race/kokura/course/index.html
