model,scope,bet_type,races,hit_races,hit_rate_pct,total_stake,total_return,return_rate_pct
軸流しモデル(現行box4重み転用、winner_box4.json),全211レース,馬連,211,37,17.5,63300.0,56320.0,89.0
軸流しモデル(現行box4重み転用、winner_box4.json),全211レース,ワイド,211,68,32.2,63300.0,59020.0,93.2
軸流しモデル(現行box4重み転用、winner_box4.json),全211レース,3連複,211,21,10.0,63300.0,148840.0,235.1
軸流しモデル(現行box4重み転用、winner_box4.json),全211レース,馬単_軸流し,211,22,10.4,63300.0,46380.0,73.3
軸流しモデル(現行box4重み転用、winner_box4.json),全211レース,馬単_マルチ,211,37,17.5,126600.0,110470.0,87.3
軸流しモデル(現行box4重み転用、winner_box4.json),全211レース,3連単_軸流し,211,7,3.3,126600.0,141180.0,111.5
軸流しモデル(現行box4重み転用、winner_box4.json),全211レース,3連単_マルチ,211,21,10.0,379800.0,857640.0,225.8
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度5レース/日(計60レース),馬連,60,13,21.7,18000.0,13100.0,72.8
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度5レース/日(計60レース),ワイド,60,21,35.0,18000.0,21000.0,116.7
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度5レース/日(計60レース),3連複,60,10,16.7,18000.0,52080.0,289.3
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度5レース/日(計60レース),馬単_軸流し,60,8,13.3,18000.0,15730.0,87.4
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度5レース/日(計60レース),馬単_マルチ,60,13,21.7,36000.0,22660.0,62.9
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度5レース/日(計60レース),3連単_軸流し,60,3,5.0,36000.0,25430.0,70.6
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度5レース/日(計60レース),3連単_マルチ,60,10,16.7,108000.0,414950.0,384.2
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度6レース/日(計72レース),馬連,72,15,20.8,21600.0,15750.0,72.9
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度6レース/日(計72レース),ワイド,72,25,34.7,21600.0,22780.0,105.5
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度6レース/日(計72レース),3連複,72,11,15.3,21600.0,53120.0,245.9
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度6レース/日(計72レース),馬単_軸流し,72,9,12.5,21600.0,20030.0,92.7
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度6レース/日(計72レース),馬単_マルチ,72,15,20.8,43200.0,27690.0,64.1
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度6レース/日(計72レース),3連単_軸流し,72,3,4.2,43200.0,25430.0,58.9
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度6レース/日(計72レース),3連単_マルチ,72,11,15.3,129600.0,419160.0,323.4
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度7レース/日(計84レース),馬連,84,18,21.4,25200.0,19030.0,75.5
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度7レース/日(計84レース),ワイド,84,30,35.7,25200.0,25940.0,102.9
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度7レース/日(計84レース),3連複,84,13,15.5,25200.0,55540.0,220.4
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度7レース/日(計84レース),馬単_軸流し,84,11,13.1,25200.0,26350.0,104.6
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度7レース/日(計84レース),馬単_マルチ,84,18,21.4,50400.0,35370.0,70.2
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度7レース/日(計84レース),3連単_軸流し,84,5,6.0,50400.0,44650.0,88.6
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度7レース/日(計84レース),3連単_マルチ,84,13,15.5,151200.0,438380.0,289.9
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度8レース/日(計96レース),馬連,96,20,20.8,28800.0,24990.0,86.8
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度8レース/日(計96レース),ワイド,96,32,33.3,28800.0,27550.0,95.7
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度8レース/日(計96レース),3連複,96,13,13.5,28800.0,55540.0,192.8
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度8レース/日(計96レース),馬単_軸流し,96,12,12.5,28800.0,28930.0,100.5
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度8レース/日(計96レース),馬単_マルチ,96,20,20.8,57600.0,49840.0,86.5
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度8レース/日(計96レース),3連単_軸流し,96,5,5.2,57600.0,44650.0,77.5
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度8レース/日(計96レース),3連単_マルチ,96,13,13.5,172800.0,438380.0,253.7
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度9レース/日(計108レース),馬連,108,23,21.3,32400.0,28110.0,86.8
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度9レース/日(計108レース),ワイド,108,35,32.4,32400.0,28960.0,89.4
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度9レース/日(計108レース),3連複,108,13,12.0,32400.0,55540.0,171.4
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度9レース/日(計108レース),馬単_軸流し,108,14,13.0,32400.0,30940.0,95.5
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度9レース/日(計108レース),馬単_マルチ,108,23,21.3,64800.0,55310.0,85.4
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度9レース/日(計108レース),3連単_軸流し,108,5,4.6,64800.0,44650.0,68.9
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度9レース/日(計108レース),3連単_マルチ,108,13,12.0,194400.0,438380.0,225.5
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度10レース/日(計120レース),馬連,120,26,21.7,36000.0,31120.0,86.4
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度10レース/日(計120レース),ワイド,120,41,34.2,36000.0,31400.0,87.2
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度10レース/日(計120レース),3連複,120,13,10.8,36000.0,55540.0,154.3
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度10レース/日(計120レース),馬単_軸流し,120,16,13.3,36000.0,33260.0,92.4
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度10レース/日(計120レース),馬単_マルチ,120,26,21.7,72000.0,61490.0,85.4
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度10レース/日(計120レース),3連単_軸流し,120,5,4.2,72000.0,44650.0,62.0
軸流しモデル(現行box4重み転用、winner_box4.json),高確信度10レース/日(計120レース),3連単_マルチ,120,13,10.8,216000.0,438380.0,203.0
軸流しモデル(現行box4重み転用、winner_box4.json),"連続乗数(gap_pct順位→[0.5,1.5]、全211レース)",馬連,211,37,17.5,63300.0,53322.953431372545,84.2
軸流しモデル(現行box4重み転用、winner_box4.json),"連続乗数(gap_pct順位→[0.5,1.5]、全211レース)",ワイド,211,68,32.2,63300.0,58686.95261437908,92.7
軸流しモデル(現行box4重み転用、winner_box4.json),"連続乗数(gap_pct順位→[0.5,1.5]、全211レース)",3連複,211,21,10.0,63300.0,131287.69607843139,207.4
