race_id,segment_index,lap_time_sec
202406030501,1,12.8
202406030501,2,12.1
202406030501,3,12.8
202406030501,4,12.8
202406030501,5,12.6
202406030501,6,12.6
202406030501,7,12.8
202406030501,8,13.0
202406030501,9,14.2
202406030502,1,11.8
202406030502,2,10.4
202406030502,3,11.3
202406030502,4,12.5
202406030502,5,12.7
202406030502,6,12.7
202406030503,1,12.9
202406030503,2,12.1
202406030503,3,12.9
202406030503,4,12.8
202406030503,5,12.5
202406030503,6,12.6
202406030503,7,12.8
202406030503,8,13.2
202406030503,9,13.0
202406030504,1,11.7
202406030504,2,10.7
202406030504,3,11.2
202406030504,4,12.1
202406030504,5,12.8
202406030504,6,13.1
202406030505,1,12.6
202406030505,2,11.5
202406030505,3,12.3
202406030505,4,12.6
202406030505,5,12.5
202406030505,6,12.5
202406030505,7,12.6
202406030505,8,12.1
202406030505,9,12.1
202406030505,10,11.9
202406030506,1,12.9
202406030506,2,12.4
202406030506,3,13.8
202406030506,4,13.5
202406030506,5,12.5
202406030506,6,12.1
202406030506,7,12.8
202406030506,8,12.5
202406030506,9,12.7
202406030507,1,12.7
202406030507,2,12.1
202406030507,3,12.0
202406030507,4,11.5
202406030507,5,11.7
202406030507,6,12.2
202406030507,7,12.3
202406030507,8,12.1
202406030507,9,11.7
202406030508,1,12.9
202406030508,2,11.6
202406030508,3,12.8
202406030508,4,13.0
202406030508,5,12.4
202406030508,6,12.7
202406030508,7,12.7
202406030508,8,13.2
202406030508,9,12.8
202406030508,10,13.1
202406030508,11,13.7
202406030508,12,13.6
202406030509,1,11.7
202406030509,2,10.7
202406030509,3,11.0
202406030509,4,11.7
202406030509,5,12.2
202406030509,6,13.3
202406030510,1,12.0
202406030510,2,10.5
202406030510,3,11.1
202406030510,4,11.6
202406030510,5,11.6
202406030510,6,11.8
202406030511,1,12.7
202406030511,2,11.6
202406030511,3,11.7
202406030511,4,11.3
202406030511,5,11.6
202406030511,6,11.9
202406030511,7,11.7
202406030511,8,11.9
202406030512,1,11.9
202406030512,2,10.9
202406030512,3,11.9
202406030512,4,12.1
202406030512,5,12.2
202406030512,6,12.8
202409020501,1,12.9
202409020501,2,11.1
202409020501,3,13.2
202409020501,4,12.3
202409020501,5,12.6
202409020501,6,12.6
202409020501,7,12.5
202409020501,8,12.6
202409020501,9,13.3
202409020502,1,12.3
202409020502,2,11.0
202409020502,3,11.5
202409020502,4,12.5
202409020502,5,12.6
202409020502,6,12.4
202409020502,7,13.1
202409020503,1,13.4
202409020503,2,11.7
202409020503,3,12.1
202409020503,4,14.1
202409020503,5,12.6
202409020503,6,12.2
202409020503,7,12.6
202409020503,8,12.8
202409020503,9,12.1
202409020503,10,12.2
202409020504,1,12.5
202409020504,2,10.8
202409020504,3,12.5
202409020504,4,12.5
202409020504,5,12.1
202409020504,6,12.1
202409020504,7,12.0
202409020504,8,12.1
202409020504,9,11.9
202409020504,10,11.7
202409020505,1,12.6
202409020505,2,11.2
202409020505,3,13.4
202409020505,4,12.8
202409020505,5,12.8
202409020505,6,12.6
202409020505,7,12.3
202409020505,8,11.7
202409020505,9,12.4
202409020506,1,12.2
202409020506,2,10.8
202409020506,3,11.6
202409020506,4,11.3
202409020506,5,11.1
202409020506,6,11.6
202409020507,1,12.7
202409020507,2,11.6
202409020507,3,13.2
202409020507,4,12.5
202409020507,5,13.2
202409020507,6,12.8
202409020507,7,12.3
202409020507,8,12.2
202409020507,9,13.1
202409020508,1,12.2
202409020508,2,11.1
202409020508,3,11.6
202409020508,4,12.0
202409020508,5,11.6
202409020508,6,13.1
202409020509,1,13.2
202409020509,2,12.1
202409020509,3,13.1
202409020509,4,12.8
202409020509,5,12.6
202409020509,6,12.8
202409020509,7,12.5
202409020509,8,11.9
202409020509,9,11.6
202409020509,10,11.0
202409020509,11,10.9
202409020509,12,11.9
202409020510,1,12.8
202409020510,2,11.7
202409020510,3,12.3
202409020510,4,12.6
202409020510,5,12.7
202409020510,6,12.0
202409020510,7,12.5
202409020510,8,12.6
202409020510,9,12.3
202409020510,10,11.5
202409020510,11,11.3
202409020510,12,11.4
202409020510,13,11.8
202409020511,1,12.6
202409020511,2,11.1
202409020511,3,11.7
202409020511,4,12.0
202409020511,5,12.1
202409020511,6,11.3
202409020511,7,10.8
202409020511,8,11.4
202409020512,1,12.5
202409020512,2,11.0
202409020512,3,11.9
202409020512,4,12.2
202409020512,5,11.8
202409020512,6,12.5
202403010101,1,7.0
202403010101,2,11.4
202403010101,3,11.8
202403010101,4,12.5
202403010101,5,12.7
202403010101,6,12.7
202403010101,7,12.8
202403010101,8,13.4
202403010101,9,13.7
202403010102,1,12.1
202403010102,2,11.1
202403010102,3,11.2
202403010102,4,11.5
202403010102,5,11.2
202403010102,6,12.0
202403010103,1,6.8
202403010103,2,11.2
202403010103,3,11.9
202403010103,4,13.0
202403010103,5,12.4
202403010103,6,13.1
202403010103,7,12.6
202403010103,8,13.1
202403010103,9,13.2
202403010106,1,6.8
202403010106,2,11.5
202403010106,3,11.6
202403010106,4,12.8
202403010106,5,12.7
202403010106,6,12.2
202403010106,7,12.8
202403010106,8,12.8
202403010106,9,13.0
202403010107,1,13.0
202403010107,2,11.6
202403010107,3,12.3
202403010107,4,12.2
202403010107,5,12.7
202403010107,6,12.1
202403010107,7,13.0
202403010107,8,13.0
202403010107,9,12.2
202403010107,10,11.9
202403010107,11,11.9
202403010107,12,11.9
202403010107,13,12.7
202403010108,1,9.4
202403010108,2,11.1
202403010108,3,11.3
202403010108,4,11.7
202403010108,5,12.2
202403010108,6,13.6
202403010109,1,12.1
202403010109,2,10.9
202403010109,3,11.4
202403010109,4,12.6
202403010109,5,12.7
202403010109,6,12.7
202403010109,7,12.2
202403010109,8,12.0
202403010109,9,11.5
202403010109,10,12.0
202403010110,1,12.1
202403010110,2,11.0
202403010110,3,11.0
202403010110,4,11.6
202403010110,5,11.1
202403010110,6,12.0
202403010111,1,6.9
202403010111,2,11.1
202403010111,3,11.8
202403010111,4,12.7
202403010111,5,12.8
202403010111,6,11.9
202403010111,7,12.4
202403010111,8,12.5
202403010111,9,12.4
202403010112,1,12.0
202403010112,2,10.6
