race_id,segment_index,lap_time_sec
202645090901,1,5.9
202645090901,2,12.0
202645090901,3,13.9
202645090901,4,14.4
202645090901,5,12.7
202645090901,6,13.4
202645090901,7,13.4
202645090901,8,13.7
202645090902,1,13.2
202645090902,2,13.6
202645090902,3,14.5
202645090902,4,11.9
202645090902,5,12.8
202645090902,6,13.5
202645090902,7,13.6
202645090903,1,6.6
202645090903,2,10.5
202645090903,3,11.9
202645090903,4,13.0
202645090903,5,13.5
202645090904,1,12.6
202645090904,2,11.8
202645090904,3,13.8
202645090904,4,13.9
202645090904,5,14.8
202645090904,6,14.6
202645090904,7,13.0
202645090904,8,13.9
202645090904,9,15.1
202645090904,10,14.2
202645090905,1,6.8
202645090905,2,10.5
202645090905,3,11.7
202645090905,4,12.4
202645090905,5,12.6
202645090906,1,12.6
202645090906,2,12.3
202645090906,3,13.4
202645090906,4,12.2
202645090906,5,13.1
202645090906,6,13.7
202645090906,7,14.1
202645090907,1,13.2
202645090907,2,12.8
202645090907,3,13.6
202645090907,4,12.3
202645090907,5,13.1
202645090907,6,14.3
202645090907,7,13.4
202645090908,1,5.6
202645090908,2,11.8
202645090908,3,12.7
202645090908,4,14.3
202645090908,5,12.6
202645090908,6,13.4
202645090908,7,14.0
202645090908,8,13.4
202645090909,1,12.8
202645090909,2,12.2
202645090909,3,14.0
202645090909,4,12.5
202645090909,5,12.4
202645090909,6,13.1
202645090909,7,13.5
202645090910,1,13.0
202645090910,2,11.1
202645090910,3,12.9
202645090910,4,14.6
202645090910,5,12.8
202645090910,6,13.1
202645090910,7,13.6
202645090910,8,13.2
202645090911,1,6.9
202645090911,2,11.2
202645090911,3,12.4
202645090911,4,13.3
202645090911,5,13.1
202645090911,6,13.8
202645090911,7,14.5
202645090911,8,12.9
202645090911,9,13.1
202645090911,10,13.8
202645090911,11,13.4
202645090912,1,5.7
202645090912,2,11.6
202645090912,3,12.9
202645090912,4,13.9
202645090912,5,12.5
202645090912,6,13.7
202645090912,7,14.3
202645090912,8,13.6
202650090901,1,14.4
202650090901,2,13.4
202650090901,3,14.7
202650090901,4,13.4
202650090901,5,13.1
202650090901,6,13.0
202650090901,7,13.1
202650090902,1,2.4
202650090902,2,12.0
202650090902,3,11.7
202650090902,4,12.9
202650090902,5,13.2
202650090903,1,13.9
202650090903,2,12.2
202650090903,3,13.3
202650090903,4,13.0
202650090903,5,13.3
202650090903,6,13.8
202650090903,7,13.7
202650090904,1,13.9
202650090904,2,12.2
202650090904,3,13.1
202650090904,4,12.9
202650090904,5,13.3
202650090904,6,13.5
202650090904,7,13.6
202650090905,1,2.1
202650090905,2,12.1
202650090905,3,11.5
202650090905,4,12.8
202650090905,5,13.7
202650090906,1,13.8
202650090906,2,11.6
202650090906,3,13.5
202650090906,4,13.1
202650090906,5,13.4
202650090906,6,13.9
202650090906,7,13.7
202650090907,1,13.8
202650090907,2,11.9
202650090907,3,13.2
202650090907,4,12.7
202650090907,5,12.9
202650090907,6,13.1
202650090907,7,13.5
202650090908,1,2.2
202650090908,2,11.7
202650090908,3,11.4
202650090908,4,12.3
202650090908,5,12.8
202650090909,1,13.8
202650090909,2,12.1
202650090909,3,13.1
202650090909,4,13.1
202650090909,5,12.6
202650090909,6,13.0
202650090909,7,13.3
202650090910,1,13.7
202650090910,2,12.1
202650090910,3,12.7
202650090910,4,12.5
202650090910,5,12.9
202650090910,6,13.5
202650090910,7,14.0
