race_id,umaban,racecourse,surface,running_style,corner4_rank,actual_corner4_rank,rank_diff,rank_abs_diff
202601010101,1,札幌,ダ,差,7.0,5.0,-2.0,2.0
202601010101,2,札幌,ダ,先,5.0,7.0,2.0,2.0
202601010101,3,札幌,ダ,先,1.0,3.0,2.0,2.0
202601010101,4,札幌,ダ,差,8.0,6.0,-2.0,2.0
202601010101,5,札幌,ダ,先,3.0,2.0,-1.0,1.0
202601010101,6,札幌,ダ,先,2.0,4.0,2.0,2.0
202601010101,7,札幌,ダ,逃,4.0,1.0,-3.0,3.0
202601010101,8,札幌,ダ,差,6.0,7.0,1.0,1.0
202601010102,1,札幌,芝,先,6.0,6.0,0.0,0.0
202601010102,2,札幌,芝,差,5.0,5.0,0.0,0.0
202601010102,3,札幌,芝,差,8.0,8.0,0.0,0.0
202601010102,4,札幌,芝,逃,1.0,4.0,3.0,3.0
202601010102,5,札幌,芝,逃,2.0,2.0,0.0,0.0
202601010102,6,札幌,芝,先,4.0,1.0,-3.0,3.0
202601010102,7,札幌,芝,差,7.0,7.0,0.0,0.0
202601010102,8,札幌,芝,先,3.0,2.0,-1.0,1.0
202601010103,1,札幌,ダ,追,10.0,10.0,0.0,0.0
202601010103,2,札幌,ダ,差,7.0,8.0,1.0,1.0
202601010103,3,札幌,ダ,先,5.0,3.0,-2.0,2.0
202601010103,4,札幌,ダ,追,8.0,5.0,-3.0,3.0
202601010103,5,札幌,ダ,逃,2.0,5.0,3.0,3.0
202601010103,6,札幌,ダ,差,4.0,4.0,0.0,0.0
202601010103,7,札幌,ダ,先,6.0,2.0,-4.0,4.0
202601010103,8,札幌,ダ,先,1.0,1.0,0.0,0.0
202601010103,9,札幌,ダ,先,3.0,7.0,4.0,4.0
202601010103,10,札幌,ダ,先,9.0,8.0,-1.0,1.0
202601010104,1,札幌,芝,先,11.0,3.0,-8.0,8.0
202601010104,2,札幌,芝,差,12.0,4.0,-8.0,8.0
202601010104,3,札幌,芝,先,2.0,8.0,6.0,6.0
202601010104,4,札幌,芝,先,4.0,10.0,6.0,6.0
202601010104,5,札幌,芝,先,14.0,10.0,-4.0,4.0
202601010104,6,札幌,芝,逃,7.0,1.0,-6.0,6.0
202601010104,7,札幌,芝,差,8.0,4.0,-4.0,4.0
202601010104,8,札幌,芝,差,3.0,10.0,7.0,7.0
202601010104,9,札幌,芝,先,9.0,8.0,-1.0,1.0
202601010104,10,札幌,芝,先,13.0,13.0,0.0,0.0
202601010104,11,札幌,芝,先,1.0,2.0,1.0,1.0
202601010104,12,札幌,芝,先,10.0,14.0,4.0,4.0
202601010104,13,札幌,芝,差,6.0,4.0,-2.0,2.0
202601010104,14,札幌,芝,先,5.0,7.0,2.0,2.0
202601010105,1,札幌,ダ,不明,1.0,1.0,0.0,0.0
202601010105,2,札幌,ダ,不明,2.0,3.0,1.0,1.0
202601010105,3,札幌,ダ,不明,4.0,2.0,-2.0,2.0
202601010105,4,札幌,ダ,不明,5.0,4.0,-1.0,1.0
202601010105,5,札幌,ダ,不明,3.0,6.0,3.0,3.0
202601010105,6,札幌,ダ,不明,6.0,5.0,-1.0,1.0
202601010106,1,札幌,芝,差,5.0,8.0,3.0,3.0
202601010106,2,札幌,芝,逃,3.0,10.0,7.0,7.0
202601010106,3,札幌,芝,逃,7.0,5.0,-2.0,2.0
202601010106,4,札幌,芝,差,14.0,5.0,-9.0,9.0
202601010106,5,札幌,芝,差,12.0,11.0,-1.0,1.0
202601010106,6,札幌,芝,先,6.0,5.0,-1.0,1.0
202601010106,7,札幌,芝,差,2.0,2.0,0.0,0.0
202601010106,8,札幌,芝,逃,13.0,11.0,-2.0,2.0
202601010106,9,札幌,芝,差,8.0,1.0,-7.0,7.0
202601010106,10,札幌,芝,差,1.0,3.0,2.0,2.0
202601010106,11,札幌,芝,差,9.0,8.0,-1.0,1.0
202601010106,12,札幌,芝,差,4.0,11.0,7.0,7.0
202601010106,13,札幌,芝,追,11.0,11.0,0.0,0.0
202601010106,14,札幌,芝,差,10.0,3.0,-7.0,7.0
202601010107,1,札幌,芝,逃,1.0,13.0,12.0,12.0
202601010107,2,札幌,芝,差,13.0,7.0,-6.0,6.0
202601010107,3,札幌,芝,差,9.0,11.0,2.0,2.0
202601010107,4,札幌,芝,逃,3.0,3.0,0.0,0.0
202601010107,5,札幌,芝,差,15.0,5.0,-10.0,10.0
202601010107,6,札幌,芝,先,11.0,7.0,-4.0,4.0
202601010107,7,札幌,芝,逃,2.0,1.0,-1.0,1.0
202601010107,8,札幌,芝,先,8.0,3.0,-5.0,5.0
202601010107,9,札幌,芝,逃,6.0,5.0,-1.0,1.0
202601010107,10,札幌,芝,差,10.0,11.0,1.0,1.0
202601010107,11,札幌,芝,先,14.0,15.0,1.0,1.0
202601010107,12,札幌,芝,先,4.0,7.0,3.0,3.0
202601010107,13,札幌,芝,先,5.0,2.0,-3.0,3.0
202601010107,14,札幌,芝,差,12.0,14.0,2.0,2.0
202601010107,15,札幌,芝,差,7.0,10.0,3.0,3.0
202601010108,1,札幌,ダ,先,2.0,11.0,9.0,9.0
202601010108,2,札幌,ダ,差,5.0,12.0,7.0,7.0
202601010108,3,札幌,ダ,差,10.0,8.0,-2.0,2.0
202601010108,4,札幌,ダ,差,9.0,9.0,0.0,0.0
202601010108,5,札幌,ダ,差,12.0,6.0,-6.0,6.0
202601010108,6,札幌,ダ,先,4.0,3.0,-1.0,1.0
202601010108,7,札幌,ダ,逃,1.0,2.0,1.0,1.0
202601010108,8,札幌,ダ,差,11.0,9.0,-2.0,2.0
202601010108,9,札幌,ダ,差,7.0,4.0,-3.0,3.0
202601010108,10,札幌,ダ,差,6.0,4.0,-2.0,2.0
202601010108,11,札幌,ダ,先,8.0,6.0,-2.0,2.0
202601010108,12,札幌,ダ,逃,3.0,1.0,-2.0,2.0
202601010109,1,札幌,芝,先,3.0,1.0,-2.0,2.0
202601010109,2,札幌,芝,先,4.0,3.0,-1.0,1.0
202601010109,3,札幌,芝,逃,1.0,2.0,1.0,1.0
202601010109,4,札幌,芝,差,2.0,9.0,7.0,7.0
202601010109,5,札幌,芝,差,6.0,6.0,0.0,0.0
202601010109,6,札幌,芝,差,9.0,3.0,-6.0,6.0
202601010109,7,札幌,芝,差,7.0,6.0,-1.0,1.0
202601010109,8,札幌,芝,先,10.0,9.0,-1.0,1.0
202601010109,9,札幌,芝,差,8.0,6.0,-2.0,2.0
202601010109,10,札幌,芝,差,5.0,3.0,-2.0,2.0
202601010110,1,札幌,芝,差,10.0,11.0,1.0,1.0
202601010110,2,札幌,芝,先,8.0,10.0,2.0,2.0
202601010110,3,札幌,芝,差,11.0,8.0,-3.0,3.0
202601010110,4,札幌,芝,先,7.0,2.0,-5.0,5.0
202601010110,5,札幌,芝,先,1.0,5.0,4.0,4.0
202601010110,6,札幌,芝,差,6.0,8.0,2.0,2.0
202601010110,7,札幌,芝,差,4.0,5.0,1.0,1.0
202601010110,8,札幌,芝,差,9.0,5.0,-4.0,4.0
202601010110,9,札幌,芝,先,2.0,2.0,0.0,0.0
202601010110,10,札幌,芝,追,5.0,1.0,-4.0,4.0
