box_size,bet_type,n_races,n_hit,hit_rate,total_stake_yen,total_return_yen,return_rate
3,馬連,2175,618,0.2841,652500,443730,0.68
3,馬単,2175,618,0.2841,1305000,881040,0.6751
3,3連複,2175,164,0.0754,217500,156410,0.7191
3,3連単,2175,164,0.0754,1305000,896060,0.6866
4,馬連,2175,925,0.4253,1305000,833890,0.639
4,馬単,2175,925,0.4253,2610000,1678760,0.6432
4,3連複,2175,405,0.1862,870000,483030,0.5552
4,3連単,2175,405,0.1862,5220000,2779350,0.5324
5,馬連,2175,1215,0.5586,2175000,1301950,0.5986
5,馬単,2175,1215,0.5586,4350000,2590870,0.5956
5,3連複,2175,724,0.3329,2175000,1235760,0.5682
5,3連単,2175,724,0.3329,13050000,6863220,0.5259
