circuit,box_size,bet_type,n_races,n_hit,hit_rate,return_rate
JRA,3,馬連,502,134,0.2669,0.6627
JRA,3,馬単,502,134,0.2669,0.6208
JRA,3,3連複,502,34,0.0677,0.8181
JRA,3,3連単,502,34,0.0677,0.5856
JRA,4,馬連,502,195,0.3884,0.6459
JRA,4,馬単,502,195,0.3884,0.616
JRA,4,3連複,502,75,0.1494,0.4851
JRA,4,3連単,502,75,0.1494,0.3972
JRA,5,馬連,502,242,0.4821,0.5638
JRA,5,馬単,502,242,0.4821,0.5312
JRA,5,3連複,502,129,0.257,0.5464
JRA,5,3連単,502,129,0.257,0.4294
NAR,3,馬連,1652,473,0.2863,0.6824
NAR,3,馬単,1652,473,0.2863,0.6894
NAR,3,3連複,1652,125,0.0757,0.6796
NAR,3,3連単,1652,125,0.0757,0.7133
NAR,4,馬連,1652,716,0.4334,0.63
NAR,4,馬単,1652,716,0.4334,0.645
NAR,4,3連複,1652,321,0.1943,0.5726
NAR,4,3連単,1652,321,0.1943,0.5647
NAR,5,馬連,1652,957,0.5793,0.6072
NAR,5,馬単,1652,957,0.5793,0.6134
NAR,5,3連複,1652,584,0.3535,0.577
NAR,5,3連単,1652,584,0.3535,0.5551
