model,scope,bet_type,races,hit_races,hit_rate_pct,total_stake,total_return,return_rate_pct
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",全2353レース,単勝,2353,1910,81.2,1176400,889550,75.6
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",全2353レース,複勝,2353,2302,97.8,1176400,889500,75.6
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",全2353レース,枠連,2353,0,0.0,0,0,0.0
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",全2353レース,馬連,2353,1430,60.8,2352600,1521230,64.7
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",全2353レース,ワイド,2353,1978,84.1,2352600,1631770,69.4
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",全2353レース,馬単,2353,1430,60.8,4705200,3160230,67.2
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",全2353レース,3連複,2353,914,38.8,2352400,1319030,56.1
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",全2353レース,3連単,2353,914,38.8,14114400,7930690,56.2
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度5レース/日(計325レース),単勝,325,268,82.5,162400,116810,71.9
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度5レース/日(計325レース),複勝,325,318,97.8,162400,117320,72.2
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度5レース/日(計325レース),枠連,325,0,0.0,0,0,0.0
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度5レース/日(計325レース),馬連,325,200,61.5,324600,203760,62.8
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度5レース/日(計325レース),ワイド,325,278,85.5,324600,218310,67.3
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度5レース/日(計325レース),馬単,325,200,61.5,649200,463160,71.3
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度5レース/日(計325レース),3連複,325,133,40.9,324400,156190,48.1
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度5レース/日(計325レース),3連単,325,133,40.9,1946400,977550,50.2
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度6レース/日(計390レース),単勝,390,326,83.6,194900,144950,74.4
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度6レース/日(計390レース),複勝,390,382,97.9,194900,142000,72.9
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度6レース/日(計390レース),枠連,390,0,0.0,0,0,0.0
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度6レース/日(計390レース),馬連,390,245,62.8,389600,240330,61.7
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度6レース/日(計390レース),ワイド,390,337,86.4,389600,263210,67.6
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度6レース/日(計390レース),馬単,390,245,62.8,779200,541600,69.5
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度6レース/日(計390レース),3連複,390,159,40.8,389400,179830,46.2
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度6レース/日(計390レース),3連単,390,159,40.8,2336400,1119050,47.9
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度7レース/日(計455レース),単勝,455,377,82.9,227400,164310,72.3
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度7レース/日(計455レース),複勝,455,445,97.8,227400,165790,72.9
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度7レース/日(計455レース),枠連,455,0,0.0,0,0,0.0
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度7レース/日(計455レース),馬連,455,284,62.4,454600,273180,60.1
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度7レース/日(計455レース),ワイド,455,389,85.5,454600,303870,66.8
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度7レース/日(計455レース),馬単,455,284,62.4,909200,607330,66.8
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度7レース/日(計455レース),3連複,455,181,39.8,454400,219680,48.3
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度7レース/日(計455レース),3連単,455,181,39.8,2726400,1303240,47.8
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度8レース/日(計520レース),単勝,520,429,82.5,259900,189190,72.8
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度8レース/日(計520レース),複勝,520,507,97.5,259900,188460,72.5
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度8レース/日(計520レース),枠連,520,0,0.0,0,0,0.0
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度8レース/日(計520レース),馬連,520,325,62.5,519600,318060,61.2
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度8レース/日(計520レース),ワイド,520,441,84.8,519600,348300,67.0
"通常戦モデル(BOX5, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=5))",高確信度8レース/日(計520レース),馬単,520,325,62.5,1039200,704010,67.7
