model,scope,bet_type,races,hit_races,hit_rate_pct,total_stake,total_return,return_rate_pct
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",全1643レース,単勝,1643,1196,72.8,657200,478280,72.8
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",全1643レース,複勝,1643,1571,95.6,657200,508080,77.3
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",全1643レース,馬連,1643,759,46.2,985800,646790,65.6
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",全1643レース,ワイド,1643,1191,72.5,985800,712590,72.3
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",全1643レース,馬単,1643,759,46.2,1971600,1287600,65.3
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",全1643レース,3連複,1643,378,23.0,657200,401550,61.1
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",全1643レース,3連単,1643,378,23.0,3943200,2251810,57.1
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度5レース/日(計230レース),単勝,230,167,72.6,92000,57610,62.6
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度5レース/日(計230レース),複勝,230,220,95.7,92000,68680,74.7
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度5レース/日(計230レース),馬連,230,103,44.8,138000,72700,52.7
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度5レース/日(計230レース),ワイド,230,175,76.1,138000,101310,73.4
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度5レース/日(計230レース),馬単,230,103,44.8,276000,140850,51.0
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度5レース/日(計230レース),3連複,230,59,25.7,92000,55760,60.6
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度5レース/日(計230レース),3連単,230,59,25.7,552000,291220,52.8
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度6レース/日(計276レース),単勝,276,204,73.9,110400,77290,70.0
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度6レース/日(計276レース),複勝,276,264,95.7,110400,81300,73.6
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度6レース/日(計276レース),馬連,276,126,45.7,165600,85950,51.9
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度6レース/日(計276レース),ワイド,276,209,75.7,165600,116500,70.4
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度6レース/日(計276レース),馬単,276,126,45.7,331200,174880,52.8
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度6レース/日(計276レース),3連複,276,66,23.9,110400,60630,54.9
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度6レース/日(計276レース),3連単,276,66,23.9,662400,313060,47.3
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度7レース/日(計322レース),単勝,322,241,74.8,128800,89950,69.8
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度7レース/日(計322レース),複勝,322,308,95.7,128800,95610,74.2
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度7レース/日(計322レース),馬連,322,151,46.9,193200,106520,55.1
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度7レース/日(計322レース),ワイド,322,244,75.8,193200,135430,70.1
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度7レース/日(計322レース),馬単,322,151,46.9,386400,216690,56.1
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度7レース/日(計322レース),3連複,322,74,23.0,128800,68680,53.3
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度7レース/日(計322レース),3連単,322,74,23.0,772800,350960,45.4
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度8レース/日(計368レース),単勝,368,273,74.2,147200,103120,70.1
"通常戦モデル(BOX4, 等重み17シグナル(2026-08-01、300パターン探索は不採用、box_n=4))",高確信度8レース/日(計368レース),複勝,368,352,95.7,147200,110240,74.9
