race_id,finish1_umaban,finish1_horse,finish1_ninki,finish1_odds,finish2_umaban,finish2_horse,finish3_umaban,finish3_horse,tansho_payout,tansho_ninki
202630081301,10,ブラックタイクーン,2,3.7,8,フルオブポップス,12,エカヒリオ,370円,2人気
202630081302,3,ヴィクトールキック,1,1.4,9,アオフガーベ,6,トシデンセツ,140円,1人気
202630081303,8,フェリンヴァラー,2,4.0,1,バラデロ,7,ベストメッセージ,400円,2人気
202630081304,4,ユーキャンフライ,2,3.7,8,ポートエレン,1,フィンガルスケーブ,370円,2人気
202630081305,9,クーバランセ,6,13.0,11,イケメンモンスター,5,ティンバリートス,"1,300円",6人気
202630081306,4,リコーイリヤー,2,2.9,5,ダバイクリスタル,8,ミーディアムセラア,290円,2人気
202630081307,2,クインズモナカ,2,2.4,11,メテオジュリア,8,クイーンズパーク,240円,2人気
202630081308,6,ムーンレインボー,3,4.1,4,ブルーコスモス,9,ウィルミスチヴァス,410円,3人気
202630081309,11,ベルバロン,1,1.5,8,スイートキャンディ,7,アヴェルス,150円,1人気
202630081310,8,シナモンデイジー,4,6.8,4,リアル,3,スティールアンバー,680円,4人気
202630081311,9,ベストグリーン,1,1.8,4,エコロレーヴ,10,トウカイマシェリ,180円,1人気
202630081312,6,ラッキーホープ,1,1.9,4,オンラインボス,7,ワンダーウーマン,190円,1人気
202644081301,8,ペイルムーン,2,2.5,3,シャンクドール,2,メロパール,250円,2人気
202644081302,3,ペプトンオー,5,7.5,4,ロワゾドゥフ,8,デンティンブリッジ,750円,5人気
202644081303,10,タツノロマンス,1,1.3,6,ムービングアップ,9,リュウノギフト,130円,1人気
202644081304,3,グラスリッキー,1,1.3,9,ダイナマイトガンモ,12,ラブリーネイティブ,130円,1人気
202644081305,3,アフロッチ,2,5.6,6,ウィルイルミ,14,トキオゴリン,560円,2人気
202644081306,13,ニシノコヌカアメ,7,13.8,8,カルサパラストリス,9,シルフラ,"1,380円",7人気
202644081307,2,ワクシングムーン,2,2.5,3,アレグランサ,6,クールブリーズ,250円,2人気
202644081308,10,シルバーマック,1,2.3,7,コイゴロモ,9,ジルクン,230円,1人気
202644081309,13,ミルトイブニング,6,17.5,10,サンラザール,8,ストラディウス,"1,750円",6人気
202644081310,12,クレールジャック,2,4.5,3,コスモソンジュ,10,ハンデンドレイク,450円,2人気
202647081301,2,オータムメモリー,2,3.1,5,エンシェントダンス,6,クリチャーシシー,310円,2人気
202647081302,5,コスモフルール,6,81.3,6,ヤスケ,7,ハッピーノリクン,"8,130円",6人気
202647081303,5,スヴァローグ,2,3.0,2,プロペラシャフト,3,フミフローレンス,300円,2人気
202647081304,8,ペップトーク,3,6.9,6,アメリータ,1,エースオブスペーズ,690円,3人気
202647081305,8,バレオリア,4,8.1,2,ヒルノセビリア,6,ジーグフェルド,810円,4人気
202647081306,4,コンヴェックス,2,3.4,1,プリュムドランジュ,3,コスモメモラブル,340円,2人気
202647081307,2,サーバルマインド,1,1.1,3,ホープレイジング,7,オカノストーム,110円,1人気
202647081308,4,カサナルキセキ,5,12.5,5,ツキノコブネ,8,ディアギレフ,"1,250円",5人気
202647081309,5,アリストクラット,1,1.1,4,アフリカンブラック,3,ハイパーコール,110円,1人気
202647081310,2,ベラジオファントム,1,1.6,8,ピカソジャスパー,1,ケンブリッジロス,160円,1人気
202647081311,3,ミカエル,1,1.7,6,マスカットオマーン,2,ツマミグイ,170円,1人気
202650081301,10,ヤマトフェイス,1,1.4,7,タガノグリジオ,6,フィフスドア,140円,1人気
202650081302,9,レゼルノワール,3,4.8,2,グルーヴグルーヴ,8,フェスティヴルキナ,480円,3人気
202650081303,1,ジョイドール,1,1.1,6,イトシノファーザ,3,ゴールドブレゲ,110円,1人気
202650081304,10,ガスパール,3,5.5,1,セキセイ,8,モウショウ,550円,3人気
202650081305,7,テクノエクスプレス,4,7.2,2,タイムレスラブ,12,テイケイウェリナ,720円,4人気
202650081306,5,ピエナフェリーチェ,4,7.6,7,フレイムフォース,4,サンウイング,760円,4人気
202650081307,8,クロアン,5,19.6,6,レスプレンドール,9,セイウンスペリオル,"1,960円",5人気
202650081308,6,ピコランド,2,3.2,4,ワイドオルデン,2,ブラッドショー,320円,2人気
202650081309,7,ナムラジミー,1,3.3,2,ホクザンゴールド,5,ラズライトタッカー,330円,1人気
202650081310,3,スプリガン,1,1.7,10,カネミツエース,4,メテオレーナ,170円,1人気
202650081311,10,サイレンスタイム,2,4.2,7,ダイジョバナイ,9,シンリンゲンカイ,420円,2人気
202650081312,8,ウインカグヤヒメ,3,10.1,7,ヘイスト,12,マジックエミリア,"1,010円",3人気
