race_id,finish1_umaban,finish1_horse,finish1_ninki,finish1_odds,finish2_umaban,finish2_horse,finish3_umaban,finish3_horse,finish4_umaban,finish4_horse,finish5_umaban,finish5_horse,tansho_payout,tansho_ninki
202645082101,9,ナリノドリーム,1,1.7,11,ルイーサ,8,セイウンパイオニア,5,スウィープレジーナ,1,リコースチェッキン,170円,1人気
202645082102,1,ヴェロス,1,1.3,11,アップタウンガール,5,マロンフエルテ,9,ホーススピリット,4,ブルードラゴン,130円,1人気
202645082103,5,スノージュエル,2,2.8,9,ブリスワン,4,ユウユウアドニス,7,セイレジェ,1,アップアップアップ,280円,2人気
202645082104,4,ゴールドモナコ,2,2.9,5,ブエラグランデ,7,コスモノイヤール,6,ヒートロア,1,バースデイ,290円,2人気
202645082105,2,マイブリッジ,1,1.2,5,キーファイン,1,タイセイルシエル,9,ラフォンターナ,3,コビナイフォンテン,120円,1人気
202645082106,8,アッチョンブリケ,1,1.6,6,ノーサイドガール,1,カネトシライパー,4,ケリーアローズ,7,アンプリフィ,160円,1人気
202645082107,7,リコーウォールアイ,4,6.9,2,ワイズブレイズ,1,ゴーゴールイス,8,サラサチャーミング,11,ベリルキャッツアイ,690円,4人気
202645082108,2,キクノルタ,5,8.9,3,クロウソング,9,ナリノボガート,6,オトコユメラク,1,ワンラヴ,890円,5人気
202645082109,6,リッキーズラック,1,1.8,9,ハネダブライアン,5,ホースワン,4,アヌマティチェコ,7,ジュウニントイロ,180円,1人気
202645082110,10,サウスヴィルステラ,2,3.7,2,フィアマフルミネ,5,カナールゲイル,6,パイロデキセキ,7,ライヴドライバー,370円,2人気
202645082111,2,ハーンドルフ,3,3.3,6,フォーティチュード,4,クアトロフォンテ,5,マカゼ,7,ポッドレオ,330円,3人気
202645082112,2,ボンセレンシス,2,3.7,3,オーサムジェンヌ,9,フルミネビアンコ,11,スマートラスター,7,シージャムブルース,370円,2人気
202648082101,1,シャマレル,1,1.4,4,ミョンソクコムドリ,10,ボドニーク,7,ニシキエバー,8,アンフルラージュ,140円,1人気
202648082102,10,ヒデガミティアラ,1,1.6,7,ラブミーアゲイン,4,ビアーレ,11,コパノルーカス,5,モータリゼーション,160円,1人気
202648082103,2,コパノカーター,6,62.9,5,コスモアマデウス,4,リリーボレア,3,グラスベリー,12,オーケーグレイス,"6,290円",6人気
202648082104,8,ネオゼウス,1,2.4,1,アルコル,5,カクシンパーティー,9,ルクスオリジン,7,ニシキクイーン,240円,1人気
202648082105,7,メグレズ,2,3.1,6,エールエクスプレス,3,ブルーオンピンク,5,セバスティアン,8,ケイズヴェロシティ,310円,2人気
202648082106,3,テレヴァカ,5,7.7,2,ドルチェルナ,7,グランドネビュラ,5,ハーピークオーレ,4,ローズドゥレッシュ,770円,5人気
202648082107,3,アースジャッジ,2,2.3,2,ナンヨーリクエスト,6,アレステソーロ,10,マンデーロウリュウ,5,リトルリリイ,230円,2人気
202648082108,7,メタルクラフト,4,7.8,8,イザベルソレイユ,10,シャッフルガール,3,アーキハッカー,6,エドノバイオレット,780円,4人気
202648082109,2,ハンドフル,1,1.3,3,ミラクルカイザー,5,ファーストボーイ,10,キタサンフジヤマ,8,カワテンバッカス,130円,1人気
202648082110,6,ダイチラポール,3,6.9,4,バレアリックシー,3,ペップセ,8,ミアステラ,9,メモリードライブ,690円,3人気
202648082111,9,ドナギニー,2,3.7,5,ボックスオフィス,8,アルバーシャ,2,ピコブルー,1,セイウンアーテル,370円,2人気
202648082112,11,フライデイゼーン,5,9.0,8,ビックリパラダイス,6,クイーンオブハート,4,ラヴズプレミアム,9,フクスケ,900円,5人気
202650082101,6,エイシンリキュウ,1,1.0,9,クラウンオーシャン,4,ミッドナイトフライ,5,スミレブーケ,10,シームレス,100円,1人気
202650082102,6,シェナグレース,1,1.2,7,シビックタルマイン,5,クラインアベニュー,1,ミルトアフター,4,ウチュウカイゾク,120円,1人気
202650082103,3,ルジュエ,1,1.7,8,アカネノソラ,6,アルバトロン,2,ワダカツ,5,シャオウーイン,170円,1人気
202650082104,2,コインアフレーズ,1,2.1,5,ケンシロウニセイ,7,リザンテラ,10,ヘルタースケルター,1,アウトサイドベット,210円,1人気
202650082105,5,アドミ,1,1.2,6,ヤクジンミョウオウ,3,シェナホープ,2,サンピラーゴールド,7,ナムラデュラン,120円,1人気
202650082106,1,サンリナリア,1,1.2,6,サファリ,2,テイケイリノ,8,キラキラリ,4,ダンスデミルリトン,120円,1人気
202650082107,4,リーガルタイム,1,1.0,6,パズー,7,テーオーハリスン,1,アドーネ,5,フーイナム,100円,1人気
202650082108,5,ホクザンシュシュ,1,1.5,2,モモノコトノハ,10,ジャングルマリサ,4,ヤシロスマイリー,6,タマノルーナ,150円,1人気
202650082109,4,リケアクスクス,1,1.1,3,ハイレジリエンス,7,クイーンオブリリー,8,アテナガール,6,ココリカレドニアン,110円,1人気
202650082110,3,エートルドゥエ,3,4.7,9,ナンバーセオリー,2,ベジョータ,7,ビカムキング,6,スイートフェアリー,470円,3人気
202650082111,6,ワキノノーブル,3,4.2,3,ラストデュエル,9,アジムット,4,スルーザミル,7,ファンシンレディー,420円,3人気
202650082112,3,スマートカナートス,7,23.8,4,デイジーフラッシュ,6,スイートサンライズ,9,サトノグラン,10,クライオブジアース,"2,380円",7人気
