kaisai_date,race_id,race_name,racecourse,race_number,surface,distance_m,start_time,field_size
20260806,202630080601,優駿の里安平町早来かりんず賞(2歳),門別,1,ダ,1600,14:15,12
20260806,202630080602,優駿の里安平町夢民舎賞(2歳),門別,2,ダ,1000,14:45,10
20260806,202630080603,道の駅あびらオリジナル賞(2歳),門別,3,ダ,1200,15:15,10
20260806,202630080604,優駿の里安平町SRK菜の花賞(C4),門別,4,ダ,1000,15:50,9
20260806,202630080605,JRA認定競走アタックチャレンジ競走(2歳),門別,5,ダ,1100,16:25,8
20260806,202630080606,JRA認定競走フレッシュチャレンジ競走(2歳),門別,6,ダ,1100,16:55,8
20260806,202630080607,優駿の里安平町谷川農園賞(C3),門別,7,ダ,1000,17:30,8
20260806,202630080608,優駿の里安平町アサヒメロン賞(C3),門別,8,ダ,1000,18:00,8
20260806,202630080609,優駿の里安平町あびら川特別(B4),門別,9,ダ,1200,18:35,12
20260806,202630080610,グランシャリオドリーム43(B4),門別,10,ダ,1600,19:10,8
20260806,202630080611,NORTHERN BREW特別(B3),門別,11,ダ,1200,19:50,11
20260806,202630080612,サッポロクラシックカップ〔H3〕(ミッキ重賞,門別,12,ダ,1200,20:30,9
20260806,202643080601,ハイビスカスデビュー(2歳),船橋,1,ダ,1000,14:35,7
20260806,202643080602,ハイビスカスデビュー(2歳),船橋,2,ダ,1200,15:10,6
20260806,202643080603,コヨーテスプリント(3歳),船橋,3,ダ,1200,15:40,10
20260806,202643080604,ウミネコスプリント(3歳),船橋,4,ダ,1200,16:10,8
20260806,202643080605,雄風スプリント(C3),船橋,5,ダ,1200,16:40,9
20260806,202643080606,みずほスプリント(C3),船橋,6,ダ,1200,17:10,7
20260806,202643080607,疾風迅雷スプリント(C2),船橋,7,ダ,1200,17:40,6
20260806,202643080608,獅子座ダッシュ(C2C3),船橋,8,ダ,1000,18:15,9
20260806,202643080609,馬い!八肥の会グリーングラス発売記念(A2B1),船橋,9,ダ,1200,18:50,8
20260806,202643080610,ナイアガラスプリント(C1),船橋,10,ダ,1200,19:25,10
20260806,202643080611,習志野きらっとスプリント重賞,船橋,11,ダ,1000,20:05,14
20260806,202643080612,葉月ダッシュ(B2B3),船橋,12,ダ,1000,20:50,10
20260806,202650080601,C3三,園田,1,ダ,1400,10:40,9
20260806,202650080602,C2四,園田,2,ダ,1400,11:10,7
20260806,202650080603,C2三,園田,3,ダ,1400,11:40,8
20260806,202650080604,烏帽子7ハロンC3二,園田,4,ダ,1400,12:10,10
20260806,202650080605,勝成7ハロンC3一,園田,5,ダ,1400,12:40,10
20260806,202650080606,C3,園田,6,ダ,820,13:10,10
20260806,202650080607,C2二,園田,7,ダ,1400,13:40,8
20260806,202650080608,C2一,園田,8,ダ,1400,14:15,8
20260806,202650080609,C1,園田,9,ダ,1400,14:45,9
20260806,202650080610,JRA交流 摩耶山特別,園田,10,ダ,1400,15:20,9
20260806,202650080611,葉月特別B1B2,園田,11,ダ,820,15:55,12
20260806,202650080612,B2,園田,12,ダ,820,16:30,12
