race_id,umaban,horse_id,horse_name,waku,stable_comment,stable_comment_reporter,stable_comment_rating_code,training_review,training_date,training_course,training_track_condition,training_rider,training_times,training_partner_comment,training_position,training_load,training_critic,training_rank,past1_date,past1_venue,past1_finish,past1_race_name,past1_race_class,past1_surface_distance,past1_time,past1_track_condition,past1_field_size,past1_umaban_in_race,past1_ninki,past1_jockey,past1_weight_carried,past1_corner_positions,past1_agari_3f,past1_horse_weight,past1_horse_weight_diff,past1_beaten_by,past1_birthday,past2_date,past2_venue,past2_finish,past2_race_name,past2_race_class,past2_surface_distance,past2_time,past2_track_condition,past2_field_size,past2_umaban_in_race,past2_ninki,past2_jockey,past2_weight_carried,past2_corner_positions,past2_agari_3f,past2_horse_weight,past2_horse_weight_diff,past2_beaten_by,past2_birthday,past3_date,past3_venue,past3_finish,past3_race_name,past3_race_class,past3_surface_distance,past3_time,past3_track_condition,past3_field_size,past3_umaban_in_race,past3_ninki,past3_jockey,past3_weight_carried,past3_corner_positions,past3_agari_3f,past3_horse_weight,past3_horse_weight_diff,past3_beaten_by,past3_birthday,past4_date,past4_venue,past4_finish,past4_race_name,past4_race_class,past4_surface_distance,past4_time,past4_track_condition,past4_field_size,past4_umaban_in_race,past4_ninki,past4_jockey,past4_weight_carried,past4_corner_positions,past4_agari_3f,past4_horse_weight,past4_horse_weight_diff,past4_beaten_by,past4_birthday,past5_date,past5_venue,past5_finish,past5_race_name,past5_race_class,past5_surface_distance,past5_time,past5_track_condition,past5_field_size,past5_umaban_in_race,past5_ninki,past5_jockey,past5_weight_carried,past5_corner_positions,past5_agari_3f,past5_horse_weight,past5_horse_weight_diff,past5_beaten_by,past5_birthday,speed_horse_id,speed_horse_name,speed_sex_age,speed_jockey,speed_max_index,speed_avg_index_5races,speed_max_distance_index,speed_max_course_index,speed_index_3races_ago,speed_index_2races_ago,speed_index_1race_ago,speed_odds,speed_ninki,speed_weight_carried,holdtime_just_race_id,holdtime_just_race_name,holdtime_just_race_date,holdtime_just_jyo,holdtime_just_baba,holdtime_just_babasa,holdtime_just_kinryo,holdtime_just_time,holdtime_just_l3f,holdtime_just_jyuni,holdtime_just_kyakusitu,holdtime_just_wakuban,holdtime_just_pace,holdtime_just_sex,holdtime_just_age,holdtime_short_race_id,holdtime_short_race_name,holdtime_short_race_date,holdtime_short_jyo,holdtime_short_baba,holdtime_short_babasa,holdtime_short_kinryo,holdtime_short_time,holdtime_short_l3f,holdtime_short_jyuni,holdtime_short_kyakusitu,holdtime_short_wakuban,holdtime_short_pace,holdtime_short_sex,holdtime_short_age,holdtime_middle_race_id,holdtime_middle_race_name,holdtime_middle_race_date,holdtime_middle_jyo,holdtime_middle_baba,holdtime_middle_babasa,holdtime_middle_kinryo,holdtime_middle_time,holdtime_middle_l3f,holdtime_middle_jyuni,holdtime_middle_kyakusitu,holdtime_middle_wakuban,holdtime_middle_pace,holdtime_middle_sex,holdtime_middle_age,holdtime_long_race_id,holdtime_long_race_name,holdtime_long_race_date,holdtime_long_jyo,holdtime_long_baba,holdtime_long_babasa,holdtime_long_kinryo,holdtime_long_time,holdtime_long_l3f,holdtime_long_jyuni,holdtime_long_kyakusitu,holdtime_long_wakuban,holdtime_long_pace,holdtime_long_sex,holdtime_long_age,bias_horse_id,bias_horse_name,bias_sire,bias_sire_bloodline,bias_dam_sire,bias_dam_sire_bloodline,bias_sex_age,bias_weight_carried,bias_horse_weight,bias_jockey,bias_trainer,bias_win_odds,bias_ninki,ca_waku_category_label,ca_waku_win_1st,ca_waku_win_2nd,ca_waku_win_3rd,ca_waku_win_out,ca_waku_runs,ca_waku_win_rate,ca_waku_place2_rate,ca_waku_place3_rate,ca_waku_win_return_rate,ca_waku_place_return_rate,ca_waku_horse_id,ca_waku_horse_name,ca_running_style_category_label,ca_running_style_win_1st,ca_running_style_win_2nd,ca_running_style_win_3rd,ca_running_style_win_out,ca_running_style_runs,ca_running_style_win_rate,ca_running_style_place2_rate,ca_running_style_place3_rate,ca_running_style_win_return_rate,ca_running_style_place_return_rate,ca_running_style_horse_id,ca_running_style_horse_name,ca_jockey_category_label,ca_jockey_win_1st,ca_jockey_win_2nd,ca_jockey_win_3rd,ca_jockey_win_out,ca_jockey_runs,ca_jockey_win_rate,ca_jockey_place2_rate,ca_jockey_place3_rate,ca_jockey_win_return_rate,ca_jockey_place_return_rate,ca_jockey_horse_id,ca_jockey_horse_name,ca_trainer_category_label,ca_trainer_win_1st,ca_trainer_win_2nd,ca_trainer_win_3rd,ca_trainer_win_out,ca_trainer_runs,ca_trainer_win_rate,ca_trainer_place2_rate,ca_trainer_place3_rate,ca_trainer_win_return_rate,ca_trainer_place_return_rate,ca_trainer_horse_id,ca_trainer_horse_name,ca_sire_category_label,ca_sire_win_1st,ca_sire_win_2nd,ca_sire_win_3rd,ca_sire_win_out,ca_sire_runs,ca_sire_win_rate,ca_sire_place2_rate,ca_sire_place3_rate,ca_sire_win_return_rate,ca_sire_place_return_rate,ca_sire_horse_id,ca_sire_horse_name,ca_broodmare_sire_category_label,ca_broodmare_sire_win_1st,ca_broodmare_sire_win_2nd,ca_broodmare_sire_win_3rd,ca_broodmare_sire_win_out,ca_broodmare_sire_runs,ca_broodmare_sire_win_rate,ca_broodmare_sire_place2_rate,ca_broodmare_sire_place3_rate,ca_broodmare_sire_win_return_rate,ca_broodmare_sire_place_return_rate,ca_broodmare_sire_horse_id,ca_broodmare_sire_horse_name,concerned_category_label,concerned_horse_id,concerned_horse_name,concerned_win_1st,concerned_win_2nd,concerned_win_3rd,concerned_win_out,concerned_runs,concerned_win_rate,concerned_place2_rate,concerned_place3_rate,concerned_win_return_rate,concerned_place_return_rate,surf_ketto_training_category_label,surf_ketto_training_horse_id,surf_ketto_training_horse_name,surf_ketto_training_win_1st,surf_ketto_training_win_2nd,surf_ketto_training_win_3rd,surf_ketto_training_win_out,surf_ketto_training_runs,surf_ketto_training_win_rate,surf_ketto_training_place2_rate,surf_ketto_training_place3_rate,surf_ketto_training_win_return_rate,surf_ketto_training_place_return_rate,surf_ketto_comment_category_label,surf_ketto_comment_horse_id,surf_ketto_comment_horse_name,surf_ketto_comment_win_1st,surf_ketto_comment_win_2nd,surf_ketto_comment_win_3rd,surf_ketto_comment_win_out,surf_ketto_comment_runs,surf_ketto_comment_win_rate,surf_ketto_comment_place2_rate,surf_ketto_comment_place3_rate,surf_ketto_comment_win_return_rate,surf_ketto_comment_place_return_rate,surf_odds_jockey_category_label,surf_odds_jockey_horse_id,surf_odds_jockey_horse_name,surf_odds_jockey_win_1st,surf_odds_jockey_win_2nd,surf_odds_jockey_win_3rd,surf_odds_jockey_win_out,surf_odds_jockey_runs,surf_odds_jockey_win_rate,surf_odds_jockey_place2_rate,surf_odds_jockey_place3_rate,surf_odds_jockey_win_return_rate,surf_odds_jockey_place_return_rate,surf_jockey_trainer_category_label,surf_jockey_trainer_horse_id,surf_jockey_trainer_horse_name,surf_jockey_trainer_win_1st,surf_jockey_trainer_win_2nd,surf_jockey_trainer_win_3rd,surf_jockey_trainer_win_out,surf_jockey_trainer_runs,surf_jockey_trainer_win_rate,surf_jockey_trainer_place2_rate,surf_jockey_trainer_place3_rate,surf_jockey_trainer_win_return_rate,surf_jockey_trainer_place_return_rate,surf_jockey_owner_category_label,surf_jockey_owner_horse_id,surf_jockey_owner_horse_name,surf_jockey_owner_win_1st,surf_jockey_owner_win_2nd,surf_jockey_owner_win_3rd,surf_jockey_owner_win_out,surf_jockey_owner_runs,surf_jockey_owner_win_rate,surf_jockey_owner_place2_rate,surf_jockey_owner_place3_rate,surf_jockey_owner_win_return_rate,surf_jockey_owner_place_return_rate,surf_jockey_prevjockey_category_label,surf_jockey_prevjockey_horse_id,surf_jockey_prevjockey_horse_name,surf_jockey_prevjockey_win_1st,surf_jockey_prevjockey_win_2nd,surf_jockey_prevjockey_win_3rd,surf_jockey_prevjockey_win_out,surf_jockey_prevjockey_runs,surf_jockey_prevjockey_win_rate,surf_jockey_prevjockey_place2_rate,surf_jockey_prevjockey_place3_rate,surf_jockey_prevjockey_win_return_rate,surf_jockey_prevjockey_place_return_rate,mark_raw_坂田,mark_raw_CP予想,mark_raw_マリア,mark_raw_馬場予想,mark_honshi,mark_cp,mark_other,corner4_rank,corner4_gap_pct,corner4_gap_lengths,corner4_speedup,corner3_rank,corner3_gap_pct,corner3_gap_lengths
202630071501,1,2024108151,スターダストレディ,,,,,,,,,,,,,,,,2026.07.01,門別,4,JRA認(2歳),,ダ1000,1:03.9,良,11,9,4,落合玄太,55.0,6-4,38.9,414,0,アーキフェザー(1.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024108151,スターダストレディ,,落合玄太,,,,,,,,,,,202630070105,ＪＲＡ認定競走フレッ,20260701,門別,良,-23,55,1:03.9,38.9,4,追,7,H,牝,2,202630070105,ＪＲＡ認定競走フレッ,20260701,門別,良,-23,55,1:03.9,38.9,4,追,7,H,牝,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024108151,スターダストレディ,サンダースノー,ノーザンダンサー系,トビーズコーナー,ノーザンダンサー系,牝2,55.0,416(+2),落合玄太,小国博行,9.2,6,1枠,86,85,90,818,1079,7%,15%,24%,66%,62%,2024108151,スターダストレディ,差,523,613,724,5738,7598,6%,14%,24%,55%,63%,2024108151,スターダストレディ,落合玄太,175,115,97,393,780,22%,37%,49%,79%,77%,2024108151,スターダストレディ,小国博行,70,97,70,480,717,9%,23%,33%,53%,73%,2024108151,スターダストレディ,サンダースノー,10,15,7,49,81,12%,30%,39%,67%,79%,2024108151,スターダストレディ,,0,0,0,0,0,0%,0%,0%,0%,0%,2024108151,スターダストレディ,,2024108151,スターダストレディ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,○,,,△,4,45.95,4.57,2,6,52.94,5.26
202630071501,2,2024101192,ビッグヴィノルーフ,,,,,,,,,,,,,,,,2026.07.01,門別,3,北のハー(2歳),,ダ1000,1:03.3,良,10,1,6,石川倭,55.0,7-4,37.5,400,-6,リュウノアキレス(0.9),,2026.06.17,門別,4,日高町の(2歳),,ダ1000,1:03.1,良,12,12,5,石川倭,55.0,4-4,38.2,406,0,ルアシュエル(1.1),,2026.05.21,門別,8,JRA認(2歳),,ダ1100,1:11.8,良,9,9,5,石川倭,55.0,2-3,41.8,406,0,プライベートセクタ(3.8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024101192,ビッグヴィノルーフ,,黒澤愛斗,,,,,,,,,,,202630061701,日高町の地酒「縁」と,20260617,門別,良,-24,55,1:03.1,38.2,4,差,8,H,牝,2,202630061701,日高町の地酒「縁」と,20260617,門別,良,-24,55,1:03.1,38.2,4,差,8,H,牝,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024101192,ビッグヴィノルーフ,ハイランドリール,ノーザンダンサー系,ディープインパクト,サンデーサイレンス系,牝2,55.0,396(-4),黒澤愛斗,米川昇,4.8,2,2枠,110,126,112,731,1079,10%,21%,32%,96%,81%,2024101192,ビッグヴィノルーフ,差,523,613,724,5738,7598,6%,14%,24%,55%,63%,2024101192,ビッグヴィノルーフ,黒沢愛斗,29,34,52,588,703,4%,8%,16%,29%,53%,2024101192,ビッグヴィノルーフ,米川昇,53,42,46,210,351,15%,27%,40%,71%,68%,2024101192,ビッグヴィノルーフ,ハイランドリール,0,0,1,1,2,0%,0%,50%,0%,195%,2024101192,ビッグヴィノルーフ,,0,0,0,0,0,0%,0%,0%,0%,0%,2024101192,ビッグヴィノルーフ,,2024101192,ビッグヴィノルーフ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,○,,▲,,○,,3,21.53,2.14,3,3,44.34,4.41
202630071501,3,2024100538,サージェントペパー,,,,,,,,,,,,,,,,2026.07.01,門別,9,JRA認(2歳),,ダ1100,1:12.0,良,9,7,8,岩橋勇二,55.0,3-3,41.5,468,0,ヒノエゴールド(4.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024100538,サージェントペパー,,石川倭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024100538,サージェントペパー,マテラスカイ,ネイティヴダンサー系,ネオユニヴァース,サンデーサイレンス系,牡2,55.0,454(-14),石川倭,石本孝博,13.3,8,3枠,102,117,102,756,1077,9%,20%,29%,56%,65%,2024100538,サージェントペパー,差,523,613,724,5738,7598,6%,14%,24%,55%,63%,2024100538,サージェントペパー,石川倭,116,134,100,350,700,16%,35%,50%,60%,83%,2024100538,サージェントペパー,石本孝博,12,10,7,112,141,8%,15%,20%,69%,43%,2024100538,サージェントペパー,マテラスカイ,3,5,7,40,55,5%,14%,27%,11%,166%,2024100538,サージェントペパー,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100538,サージェントペパー,,2024100538,サージェントペパー,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,,,,8,58.55,5.82,2,7,55.56,5.52
202630071501,4,2024100589,スマートウェイン,,,,,,,,,,,,,,,,2026.07.02,門別,3,2歳未勝利,,ダ1100,1:10.9,良,9,3,3,服部茂史,55.0,4-5,39.3,458,+8,ミリオンジュピター(1.1),,2026.06.17,門別,9,JRA認(2歳),,ダ1100,1:10.3,良,12,4,8,服部茂史,55.0,3-4,40.3,450,-2,エイシンウルトラン(2.5),,2026.06.04,門別,2,JRA認(2歳),,ダ1100,1:09.8,良,9,3,5,服部茂史,55.0,4-3,39.0,452,+4,タルマエドン(1.3),,2026.05.21,門別,5,JRA認(2歳),,ダ1100,1:11.0,良,8,1,5,渡辺準己,52.0,3-3,39.6,448,-2,サザングルーヴ(2.8),,2026.05.06,門別,5,JRA認(2歳),,ダ1000,1:04.1,良,8,7,3,渡辺準己,52.0,2-2,39.8,450,0,バドラ(2.7),,2024100589,スマートウェイン,,服部茂史,,,,,,,,,,,202630050605,ＪＲＡ認定競走フレッ,20260506,門別,良,-23,52,1:04.1,39.8,5,先,7,M,牡,2,202630050605,ＪＲＡ認定競走フレッ,20260506,門別,良,-23,52,1:04.1,39.8,5,先,7,M,牡,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024100589,スマートウェイン,スマートファルコン,サンデーサイレンス系,ハービンジャー,ノーザンダンサー系,牡2,55.0,460(+2),服部茂史,松本隆宏,2.9,1,4枠,97,107,110,775,1089,8%,18%,28%,40%,60%,2024100589,スマートウェイン,差,523,613,724,5738,7598,6%,14%,24%,55%,63%,2024100589,スマートウェイン,服部茂史,73,74,71,289,507,14%,28%,42%,89%,85%,2024100589,スマートウェイン,松本隆宏,67,59,47,308,481,13%,26%,35%,94%,79%,2024100589,スマートウェイン,スマートファルコン,21,20,15,154,210,10%,19%,26%,47%,58%,2024100589,スマートウェイン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100589,スマートウェイン,,2024100589,スマートウェイン,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,▲,◎,△,,▲,○,7,49.89,4.96,3,8,59.1,5.88
202630071501,5,2024105201,アンビティオー,,,,,,,,,,,,,,,,2026.06.23,門別,8,2歳未勝利,,ダ1000,1:04.4,稍,12,8,11,藤田凌駕,53.0,9-8,39.5,472,-4,ロングテールテット(1.7),,2026.05.26,門別,11,2歳未勝利,,ダ1100,1:11.8,稍,12,10,9,井上瑛太,55.0,6-7,41.3,476,+6,レディーダイヤ(3.2),,2026.04.29,門別,4,JRA認(2歳),,ダ1000,1:04.4,良,6,1,6,阿部龍,55.0,5-5,39.4,470,0,グランラック(1.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024105201,アンビティオー,,阿岸潤一,,,,,,,,,,,202630062301,２歳未勝利,20260623,門別,稍,-28,53,1:04.4,39.5,8,追,6,H,牡,2,202630062301,２歳未勝利,20260623,門別,稍,-28,53,1:04.4,39.5,8,追,6,H,牡,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024105201,アンビティオー,カイロス,ネイティヴダンサー系,キングヘイロー,ノーザンダンサー系,牡2,54.0,478(+6),阿岸潤一,五十嵐冬,122.3,10,5枠,154,145,125,1083,1507,10%,19%,28%,52%,65%,2024105201,アンビティオー,差,523,613,724,5738,7598,6%,14%,24%,55%,63%,2024105201,アンビティオー,阿岸潤一朗,30,29,51,543,653,4%,9%,16%,50%,49%,2024105201,アンビティオー,五十嵐冬,7,6,4,32,49,14%,26%,34%,107%,66%,2024105201,アンビティオー,カイロス,0,0,0,2,2,0%,0%,0%,0%,0%,2024105201,アンビティオー,,0,0,0,0,0,0%,0%,0%,0%,0%,2024105201,アンビティオー,,2024105201,アンビティオー,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,,,,12,100.0,9.94,3,12,100.0,9.94
202630071501,6,2024101368,エスペランサヘーザ,,,,,,,,,,,,,,,,2026.05.20,門別,10,JRA認(2歳),,ダ1000,1:06.2,良,10,1,10,岩橋勇二,55.0,5-6,40.5,444,0,ヴェネラブルサマー(4.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024101368,エスペランサヘーザ,,松井伸也,,,,,,,,,,,202630052005,ＪＲＡ認定競走フレッ,20260520,門別,良,-24,55,1:06.2,40.5,10,差,1,H,牝,2,202630052005,ＪＲＡ認定競走フレッ,20260520,門別,良,-24,55,1:06.2,40.5,10,差,1,H,牝,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024101368,エスペランサヘーザ,ディープブリランテ,サンデーサイレンス系,アドマイヤムーン,ネイティヴダンサー系,牝2,55.0,462(+18),松井伸也,柳澤好美,387.3,11,5枠,154,145,125,1083,1507,10%,19%,28%,52%,65%,2024101368,エスペランサヘーザ,差,523,613,724,5738,7598,6%,14%,24%,55%,63%,2024101368,エスペランサヘーザ,松井伸也,35,36,57,554,682,5%,10%,18%,59%,54%,2024101368,エスペランサヘーザ,柳澤好美,25,38,30,319,412,6%,15%,22%,33%,60%,2024101368,エスペランサヘーザ,ディープブリランテ,7,10,8,29,54,12%,31%,46%,154%,86%,2024101368,エスペランサヘーザ,,0,0,0,0,0,0%,0%,0%,0%,0%,2024101368,エスペランサヘーザ,,2024101368,エスペランサヘーザ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,★,11,94.82,9.43,1,11,98.58,9.8
202630071501,7,2024105485,アルバミオ,,,,,,,,,,,,,,,,2026.06.23,門別,8,JRA認(2歳),,ダ1000,1:05.7,稍,9,3,7,岩橋勇二,55.0,4-6,40.9,448,-4,コパノラッセル(3.7),,2026.06.10,門別,4,JRA認(2歳),,ダ1000,1:04.6,稍,10,11,8,岩橋勇二,55.0,8-6,39.0,452,0,エンジェルボヌール(2.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024105485,アルバミオ,,岩橋勇二,,,,,,,,,,,202630061005,ＪＲＡ認定競走フレッ,20260610,門別,稍,-28,55,1:04.6,39,4,追,8,M,牝,2,202630061005,ＪＲＡ認定競走フレッ,20260610,門別,稍,-28,55,1:04.6,39,4,追,8,M,牝,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024105485,アルバミオ,タリスマニック,ノーザンダンサー系,キングカメハメハ,ネイティヴダンサー系,牝2,55.0,442(-6),岩橋勇二,桧森邦夫,--,--,6枠,183,140,184,1172,1679,10%,19%,30%,73%,69%,2024105485,アルバミオ,差,523,613,724,5738,7598,6%,14%,24%,55%,63%,2024105485,アルバミオ,岩橋勇二,104,105,85,487,781,13%,26%,37%,91%,83%,2024105485,アルバミオ,桧森邦夫,33,38,53,428,552,5%,12%,22%,40%,51%,2024105485,アルバミオ,タリスマニック,16,15,19,92,142,11%,21%,35%,55%,84%,2024105485,アルバミオ,,0,0,0,0,0,0%,0%,0%,0%,0%,2024105485,アルバミオ,,2024105485,アルバミオ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,★,10,76.48,7.6,2,10,83.39,8.29
202630071501,8,2024101638,ヴィーナスマインド,,,,,,,,,,,,,,,,2026.06.23,門別,取,2歳牝馬未,,ダ1000 稍,,,11,10,,宮内勇樹,55.0,(0.0),,,,エンシャントアテナ(0.0),,2026.06.10,門別,6,JRA認(2歳),,ダ1000,1:04.9,稍,10,4,7,井上瑛太,55.0,9-9,38.3,420,0,エンジェルボヌール(2.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024101638,ヴィーナスマインド,,宮内勇樹,,,,,,,,,,,202630061005,ＪＲＡ認定競走フレッ,20260610,門別,稍,-28,55,1:04.9,38.3,6,追,4,M,牝,2,202630061005,ＪＲＡ認定競走フレッ,20260610,門別,稍,-28,55,1:04.9,38.3,6,追,4,M,牝,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024101638,ヴィーナスマインド,ホッコータルマエ,ネイティヴダンサー系,ディープインパクト,サンデーサイレンス系,牝2,55.0,422(+2),宮内勇樹,村上正和,87.6,9,6枠,183,140,184,1172,1679,10%,19%,30%,73%,69%,2024101638,ヴィーナスマインド,追,35,33,20,262,350,10%,19%,25%,48%,62%,2024101638,ヴィーナスマインド,宮内勇樹,67,86,75,486,714,9%,21%,31%,74%,75%,2024101638,ヴィーナスマインド,村上正和,48,42,40,288,418,11%,21%,31%,59%,78%,2024101638,ヴィーナスマインド,ホッコータルマエ,23,11,10,82,126,18%,26%,34%,57%,51%,2024101638,ヴィーナスマインド,,0,0,0,0,0,0%,0%,0%,0%,0%,2024101638,ヴィーナスマインド,,2024101638,ヴィーナスマインド,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,★,6,46.64,4.64,2,9,68.3,6.79
202630071501,9,2024102189,サザンザバロン,,,,,,,,,,,,,,,,2026.06.09,門別,7,2歳未勝利,,ダ1000,1:03.5,重,11,5,3,服部茂史,55.0,1-1,39.9,436,0,リュウノマッスル(1.8),,2026.05.27,門別,5,JRA認(2歳),,ダ1000,1:03.3,良,8,5,7,服部茂史,55.0,1-1,39.2,436,+6,ベラジオエイチャン(0.5),,2026.05.14,門別,5,JRA認(2歳),,ダ1100,1:11.7,良,7,4,5,服部茂史,55.0,2-3,41.7,430,0,ハカタヴァンクール(3.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024102189,サザンザバロン,,近藤翔月,,,,,,,,,,,202630052704,ＪＲＡ認定競走アタッ,20260527,門別,良,-18,55,1:03.3,39.2,5,先,5,H,牡,2,202630052704,ＪＲＡ認定競走アタッ,20260527,門別,良,-18,55,1:03.3,39.2,5,先,5,H,牡,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024102189,サザンザバロン,サンライズノヴァ,サンデーサイレンス系,ジャングルポケット,ナスルーラ系,牡2,54.0,440(+4),近藤翔月,川島洋人,8.5,4,7枠,171,177,180,1304,1832,9%,18%,28%,52%,66%,2024102189,サザンザバロン,逃,120,97,52,248,517,23%,41%,52%,76%,83%,2024102189,サザンザバロン,近藤翔月,1,4,6,46,57,1%,8%,19%,4%,54%,2024102189,サザンザバロン,川島洋人,59,64,56,395,574,10%,21%,31%,52%,69%,2024102189,サザンザバロン,サンライズノヴァ,0,0,1,2,3,0%,0%,33%,0%,0%,2024102189,サザンザバロン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024102189,サザンザバロン,,2024102189,サザンザバロン,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,◎,,▲,◎,,,◎,2,0.71,0.07,2,1,0.0,0.0
202630071501,10,2024100103,イケノミセスグリン,,,,,,,,,,,,,,,,2026.06.30,門別,4,2歳未勝利,,ダ1000,1:03.6,良,12,5,5,桑村真明,55.0,1-2,39.4,396,+2,アイローサ(2.3),,2026.06.09,門別,4,2歳牝馬未,,ダ1000,1:02.9,重,12,4,6,桑村真明,55.0,3-3,38.5,394,-4,キャトルブランシュ(0.8),,2026.05.28,門別,8,JRA認(2歳),,ダ1200,1:20.5,稍,8,8,4,桑村真明,55.0,2-3,44.4,398,0,シアンディオ(4.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024100103,イケノミセスグリン,,桑村真明,,,,,,,,,,,202630060903,２歳牝馬未勝利,20260609,門別,重,-28,55,1:02.9,38.5,4,先,4,H,牝,2,202630060903,２歳牝馬未勝利,20260609,門別,重,-28,55,1:02.9,38.5,4,先,4,H,牝,2,202630052805,ＪＲＡ認定競走フレッ,20260528,門別,稍,-22,55,1:20.5,44.4,8,先,8,H,牝,2,,,,,,,,,,,,,,,,2024100103,イケノミセスグリン,インティ,ネイティヴダンサー系,カジノドライヴ,ナスルーラ系,牝2,55.0,394(-2),桑村真明,角川秀樹,6.2,3,7枠,171,177,180,1304,1832,9%,18%,28%,52%,66%,2024100103,イケノミセスグリン,先,322,268,217,1202,2009,16%,29%,40%,74%,76%,2024100103,イケノミセスグリン,桑村真明,109,105,79,440,733,14%,29%,39%,60%,65%,2024100103,イケノミセスグリン,角川秀樹,99,88,73,320,580,17%,32%,44%,70%,75%,2024100103,イケノミセスグリン,インティ,1,0,1,4,6,16%,16%,33%,443%,50%,2024100103,イケノミセスグリン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100103,イケノミセスグリン,,2024100103,イケノミセスグリン,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,◎,,,,◎,,1,0.0,0.0,2,2,7.59,0.75
