race_id,umaban,horse_id,horse_name,waku,stable_comment,stable_comment_reporter,stable_comment_rating_code,training_review,training_date,training_course,training_track_condition,training_rider,training_times,training_partner_comment,training_position,training_load,training_critic,training_rank,past1_date,past1_venue,past1_finish,past1_race_name,past1_race_class,past1_surface_distance,past1_time,past1_track_condition,past1_field_size,past1_umaban_in_race,past1_ninki,past1_jockey,past1_weight_carried,past1_corner_positions,past1_agari_3f,past1_horse_weight,past1_horse_weight_diff,past1_beaten_by,past1_birthday,past2_date,past2_venue,past2_finish,past2_race_name,past2_race_class,past2_surface_distance,past2_time,past2_track_condition,past2_field_size,past2_umaban_in_race,past2_ninki,past2_jockey,past2_weight_carried,past2_corner_positions,past2_agari_3f,past2_horse_weight,past2_horse_weight_diff,past2_beaten_by,past2_birthday,past3_date,past3_venue,past3_finish,past3_race_name,past3_race_class,past3_surface_distance,past3_time,past3_track_condition,past3_field_size,past3_umaban_in_race,past3_ninki,past3_jockey,past3_weight_carried,past3_corner_positions,past3_agari_3f,past3_horse_weight,past3_horse_weight_diff,past3_beaten_by,past3_birthday,past4_date,past4_venue,past4_finish,past4_race_name,past4_race_class,past4_surface_distance,past4_time,past4_track_condition,past4_field_size,past4_umaban_in_race,past4_ninki,past4_jockey,past4_weight_carried,past4_corner_positions,past4_agari_3f,past4_horse_weight,past4_horse_weight_diff,past4_beaten_by,past4_birthday,past5_date,past5_venue,past5_finish,past5_race_name,past5_race_class,past5_surface_distance,past5_time,past5_track_condition,past5_field_size,past5_umaban_in_race,past5_ninki,past5_jockey,past5_weight_carried,past5_corner_positions,past5_agari_3f,past5_horse_weight,past5_horse_weight_diff,past5_beaten_by,past5_birthday,speed_horse_id,speed_horse_name,speed_sex_age,speed_jockey,speed_max_index,speed_avg_index_5races,speed_max_distance_index,speed_max_course_index,speed_index_3races_ago,speed_index_2races_ago,speed_index_1race_ago,speed_odds,speed_ninki,speed_weight_carried,bias_horse_id,bias_horse_name,bias_sire,bias_sire_bloodline,bias_dam_sire,bias_dam_sire_bloodline,bias_sex_age,bias_weight_carried,bias_horse_weight,bias_jockey,bias_jockey_id,bias_jockey_allowance_mark,bias_trainer,bias_trainer_id,bias_win_odds,bias_ninki,ca_waku_category_label,ca_waku_win_1st,ca_waku_win_2nd,ca_waku_win_3rd,ca_waku_win_out,ca_waku_runs,ca_waku_win_rate,ca_waku_place2_rate,ca_waku_place3_rate,ca_waku_win_return_rate,ca_waku_place_return_rate,ca_waku_horse_id,ca_waku_horse_name,ca_running_style_category_label,ca_running_style_win_1st,ca_running_style_win_2nd,ca_running_style_win_3rd,ca_running_style_win_out,ca_running_style_runs,ca_running_style_win_rate,ca_running_style_place2_rate,ca_running_style_place3_rate,ca_running_style_win_return_rate,ca_running_style_place_return_rate,ca_running_style_horse_id,ca_running_style_horse_name,ca_jockey_category_label,ca_jockey_win_1st,ca_jockey_win_2nd,ca_jockey_win_3rd,ca_jockey_win_out,ca_jockey_runs,ca_jockey_win_rate,ca_jockey_place2_rate,ca_jockey_place3_rate,ca_jockey_win_return_rate,ca_jockey_place_return_rate,ca_jockey_horse_id,ca_jockey_horse_name,ca_trainer_category_label,ca_trainer_win_1st,ca_trainer_win_2nd,ca_trainer_win_3rd,ca_trainer_win_out,ca_trainer_runs,ca_trainer_win_rate,ca_trainer_place2_rate,ca_trainer_place3_rate,ca_trainer_win_return_rate,ca_trainer_place_return_rate,ca_trainer_horse_id,ca_trainer_horse_name,ca_sire_category_label,ca_sire_win_1st,ca_sire_win_2nd,ca_sire_win_3rd,ca_sire_win_out,ca_sire_runs,ca_sire_win_rate,ca_sire_place2_rate,ca_sire_place3_rate,ca_sire_win_return_rate,ca_sire_place_return_rate,ca_sire_horse_id,ca_sire_horse_name,ca_broodmare_sire_category_label,ca_broodmare_sire_win_1st,ca_broodmare_sire_win_2nd,ca_broodmare_sire_win_3rd,ca_broodmare_sire_win_out,ca_broodmare_sire_runs,ca_broodmare_sire_win_rate,ca_broodmare_sire_place2_rate,ca_broodmare_sire_place3_rate,ca_broodmare_sire_win_return_rate,ca_broodmare_sire_place_return_rate,ca_broodmare_sire_horse_id,ca_broodmare_sire_horse_name,concerned_category_label,concerned_horse_id,concerned_horse_name,concerned_win_1st,concerned_win_2nd,concerned_win_3rd,concerned_win_out,concerned_runs,concerned_win_rate,concerned_place2_rate,concerned_place3_rate,concerned_win_return_rate,concerned_place_return_rate,surf_ketto_training_category_label,surf_ketto_training_horse_id,surf_ketto_training_horse_name,surf_ketto_training_win_1st,surf_ketto_training_win_2nd,surf_ketto_training_win_3rd,surf_ketto_training_win_out,surf_ketto_training_runs,surf_ketto_training_win_rate,surf_ketto_training_place2_rate,surf_ketto_training_place3_rate,surf_ketto_training_win_return_rate,surf_ketto_training_place_return_rate,surf_ketto_comment_category_label,surf_ketto_comment_horse_id,surf_ketto_comment_horse_name,surf_ketto_comment_win_1st,surf_ketto_comment_win_2nd,surf_ketto_comment_win_3rd,surf_ketto_comment_win_out,surf_ketto_comment_runs,surf_ketto_comment_win_rate,surf_ketto_comment_place2_rate,surf_ketto_comment_place3_rate,surf_ketto_comment_win_return_rate,surf_ketto_comment_place_return_rate,surf_odds_jockey_category_label,surf_odds_jockey_horse_id,surf_odds_jockey_horse_name,surf_odds_jockey_win_1st,surf_odds_jockey_win_2nd,surf_odds_jockey_win_3rd,surf_odds_jockey_win_out,surf_odds_jockey_runs,surf_odds_jockey_win_rate,surf_odds_jockey_place2_rate,surf_odds_jockey_place3_rate,surf_odds_jockey_win_return_rate,surf_odds_jockey_place_return_rate,surf_jockey_trainer_category_label,surf_jockey_trainer_horse_id,surf_jockey_trainer_horse_name,surf_jockey_trainer_win_1st,surf_jockey_trainer_win_2nd,surf_jockey_trainer_win_3rd,surf_jockey_trainer_win_out,surf_jockey_trainer_runs,surf_jockey_trainer_win_rate,surf_jockey_trainer_place2_rate,surf_jockey_trainer_place3_rate,surf_jockey_trainer_win_return_rate,surf_jockey_trainer_place_return_rate,surf_jockey_owner_category_label,surf_jockey_owner_horse_id,surf_jockey_owner_horse_name,surf_jockey_owner_win_1st,surf_jockey_owner_win_2nd,surf_jockey_owner_win_3rd,surf_jockey_owner_win_out,surf_jockey_owner_runs,surf_jockey_owner_win_rate,surf_jockey_owner_place2_rate,surf_jockey_owner_place3_rate,surf_jockey_owner_win_return_rate,surf_jockey_owner_place_return_rate,surf_jockey_prevjockey_category_label,surf_jockey_prevjockey_horse_id,surf_jockey_prevjockey_horse_name,surf_jockey_prevjockey_win_1st,surf_jockey_prevjockey_win_2nd,surf_jockey_prevjockey_win_3rd,surf_jockey_prevjockey_win_out,surf_jockey_prevjockey_runs,surf_jockey_prevjockey_win_rate,surf_jockey_prevjockey_place2_rate,surf_jockey_prevjockey_place3_rate,surf_jockey_prevjockey_win_return_rate,surf_jockey_prevjockey_place_return_rate
202644091804,1,2024100605,グランドコマンダー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024100605,グランドコマンダー,ヴァンセンヌ,サンデーサイレンス系,パイロ,ナスルーラ系,牡2,51.0,485(),杉山海波,a05db,▲,栗田泰昌,a01b0,103.8,10,1枠,73,100,94,659,926,7%,18%,28%,49%,76%,2024100605,グランドコマンダー,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100605,グランドコマンダー,杉山海波,7,9,8,161,185,3%,8%,12%,31%,51%,2024100605,グランドコマンダー,栗田泰昌,8,3,16,79,106,7%,10%,25%,196%,104%,2024100605,グランドコマンダー,ヴァンセンヌ,3,2,3,33,41,7%,12%,19%,51%,97%,2024100605,グランドコマンダー,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100605,グランドコマンダー,,2024100605,グランドコマンダー,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202644091804,2,2024100878,マオノシャイニング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024100878,マオノシャイニング,ヘンリーバローズ,サンデーサイレンス系,フォーティナイナーズサン,ネイティヴダンサー系,牡2,54.0,507(),藤田凌,05559,,橋本和馬,a0254,23.2,6,2枠,96,82,105,657,940,10%,18%,30%,81%,76%,2024100878,マオノシャイニング,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100878,マオノシャイニング,藤田凌,56,54,43,332,485,11%,22%,31%,131%,78%,2024100878,マオノシャイニング,橋本和馬,24,29,38,214,305,7%,17%,29%,70%,79%,2024100878,マオノシャイニング,ヘンリーバローズ,1,1,1,9,12,8%,16%,25%,22%,126%,2024100878,マオノシャイニング,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100878,マオノシャイニング,,2024100878,マオノシャイニング,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202644091804,3,2024100858,モンタナマジック,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024100858,モンタナマジック,ホークビル,ノーザンダンサー系,キングズベスト,ネイティヴダンサー系,牡2,53.0,466(),中山遥人,a05d8,☆,荒井朋弘,a0251,92.9,7,3枠,107,91,93,862,1153,9%,17%,25%,86%,73%,2024100858,モンタナマジック,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100858,モンタナマジック,中山遥人,8,6,8,87,109,7%,12%,20%,62%,62%,2024100858,モンタナマジック,荒井朋弘,19,26,17,176,238,7%,18%,26%,51%,70%,2024100858,モンタナマジック,ホークビル,1,2,1,24,28,3%,10%,14%,12%,25%,2024100858,モンタナマジック,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100858,モンタナマジック,,2024100858,モンタナマジック,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202644091804,4,2024104550,セイシンドラゴン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024104550,セイシンドラゴン,マカヒキ,サンデーサイレンス系,War Chant,ノーザンダンサー系,牡2,54.0,484(),和田譲治,05399,,阪本一栄,05612,21.1,5,4枠,127,95,101,999,1322,9%,16%,24%,74%,68%,2024104550,セイシンドラゴン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024104550,セイシンドラゴン,和田譲治,46,47,43,316,452,10%,20%,30%,58%,58%,2024104550,セイシンドラゴン,阪本一栄,50,40,30,306,426,11%,21%,28%,216%,80%,2024104550,セイシンドラゴン,マカヒキ,1,0,0,0,1,100%,100%,100%,750%,220%,2024104550,セイシンドラゴン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024104550,セイシンドラゴン,,2024104550,セイシンドラゴン,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202644091804,5,2024102559,イノセントワールド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024102559,イノセントワールド,ヴァンゴッホ,ネイティヴダンサー系,ストロングリターン,ターントゥ系,牡2,54.0,452(),西啓太,a02d7,,田中正人,a02f7,9.3,4,5枠,118,134,104,1115,1471,8%,17%,24%,77%,69%,2024102559,イノセントワールド,,0,0,0,0,0,0%,0%,0%,0%,0%,2024102559,イノセントワールド,西啓太,60,51,27,277,415,14%,26%,33%,91%,73%,2024102559,イノセントワールド,田中正人,21,19,22,141,203,10%,19%,30%,77%,75%,2024102559,イノセントワールド,ヴァンゴッホ,0,1,2,6,9,0%,11%,33%,0%,59%,2024102559,イノセントワールド,,0,0,0,0,0,0%,0%,0%,0%,0%,2024102559,イノセントワールド,,2024102559,イノセントワールド,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202644091804,6,2024103012,ショウナンハーバー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024103012,ショウナンハーバー,シニスターミニスター,ナスルーラ系,プリサイスエンド,ネイティヴダンサー系,牡2,54.0,484(),本田正重,05443,,坂井英光,a03d7,1.3,1,6枠,117,141,133,1200,1591,7%,16%,24%,68%,73%,2024103012,ショウナンハーバー,,0,0,0,0,0,0%,0%,0%,0%,0%,2024103012,ショウナンハーバー,本田正重,43,32,36,198,309,13%,24%,35%,223%,105%,2024103012,ショウナンハーバー,坂井英光,42,12,7,68,129,32%,41%,47%,99%,63%,2024103012,ショウナンハーバー,シニスターミニスター,31,24,20,127,202,15%,27%,37%,102%,92%,2024103012,ショウナンハーバー,,0,0,0,0,0,0%,0%,0%,0%,0%,2024103012,ショウナンハーバー,,2024103012,ショウナンハーバー,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202644091804,7,2024105719,ルビーポセイドン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024105719,ルビーポセイドン,ホッコータルマエ,ネイティヴダンサー系,エンドスウィープ,ネイティヴダンサー系,牡2,54.0,528(),吉井章,05583,,立花伸,05696,8.5,3,7枠,142,131,155,1230,1658,8%,16%,25%,69%,69%,2024105719,ルビーポセイドン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024105719,ルビーポセイドン,吉井章,62,43,50,317,472,13%,22%,32%,127%,87%,2024105719,ルビーポセイドン,立花伸,22,28,20,124,194,11%,25%,36%,101%,98%,2024105719,ルビーポセイドン,ホッコータルマエ,28,39,29,245,341,8%,19%,28%,48%,67%,2024105719,ルビーポセイドン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024105719,ルビーポセイドン,,2024105719,ルビーポセイドン,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202644091804,8,2024109069,ライズオブチョイス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024109069,ライズオブチョイス,ウインバリアシオン,サンデーサイレンス系,Cryptoclearance,ネイティヴダンサー系,牝2,54.0,463(),藤本現暉,05590,,蛯名雄太,05655,100.8,8,7枠,142,131,155,1230,1658,8%,16%,25%,69%,69%,2024109069,ライズオブチョイス,,0,0,0,0,0,0%,0%,0%,0%,0%,2024109069,ライズオブチョイス,藤本現暉,33,29,49,323,434,7%,14%,25%,78%,64%,2024109069,ライズオブチョイス,蛯名雄太,8,7,14,191,220,3%,6%,13%,33%,36%,2024109069,ライズオブチョイス,ウインバリアシオン,0,0,0,20,20,0%,0%,0%,0%,0%,2024109069,ライズオブチョイス,,0,0,0,0,0,0%,0%,0%,0%,0%,2024109069,ライズオブチョイス,,2024109069,ライズオブチョイス,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202644091804,9,2024100151,フェアリービリーヴ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024100151,フェアリービリーヴ,マカヒキ,サンデーサイレンス系,ヘニーヒューズ,ノーザンダンサー系,牝2,54.0,438(),千田洋,a0277,,松浦裕之,05571,102.4,9,8枠,147,151,136,1266,1700,8%,17%,25%,56%,68%,2024100151,フェアリービリーヴ,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100151,フェアリービリーヴ,千田洋,3,14,10,215,242,1%,7%,11%,22%,36%,2024100151,フェアリービリーヴ,松浦裕之,21,31,33,227,312,6%,16%,27%,33%,65%,2024100151,フェアリービリーヴ,マカヒキ,1,0,0,0,1,100%,100%,100%,750%,220%,2024100151,フェアリービリーヴ,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100151,フェアリービリーヴ,,2024100151,フェアリービリーヴ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202644091804,10,2024104527,トニーブライアン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024104527,トニーブライアン,チュウワウィザード,ネイティヴダンサー系,スマートファルコン,サンデーサイレンス系,牡2,54.0,482(),野畑凌,05630,,堀千亜樹,05607,7.6,2,8枠,147,151,136,1266,1700,8%,17%,25%,56%,68%,2024104527,トニーブライアン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024104527,トニーブライアン,野畑凌,41,30,46,306,423,9%,16%,27%,85%,75%,2024104527,トニーブライアン,堀千亜樹,7,15,23,172,217,3%,10%,20%,27%,81%,2024104527,トニーブライアン,チュウワウィザード,0,0,1,0,1,0%,0%,100%,0%,0%,2024104527,トニーブライアン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024104527,トニーブライアン,,2024104527,トニーブライアン,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
