race_id,umaban,horse_id,horse_name,waku,stable_comment,stable_comment_reporter,stable_comment_rating_code,training_review,training_date,training_course,training_track_condition,training_rider,training_times,training_partner_comment,training_position,training_load,training_critic,training_rank,past1_date,past1_venue,past1_finish,past1_race_name,past1_race_class,past1_surface_distance,past1_time,past1_track_condition,past1_field_size,past1_umaban_in_race,past1_ninki,past1_jockey,past1_weight_carried,past1_corner_positions,past1_agari_3f,past1_horse_weight,past1_horse_weight_diff,past1_beaten_by,past1_birthday,past2_date,past2_venue,past2_finish,past2_race_name,past2_race_class,past2_surface_distance,past2_time,past2_track_condition,past2_field_size,past2_umaban_in_race,past2_ninki,past2_jockey,past2_weight_carried,past2_corner_positions,past2_agari_3f,past2_horse_weight,past2_horse_weight_diff,past2_beaten_by,past2_birthday,past3_date,past3_venue,past3_finish,past3_race_name,past3_race_class,past3_surface_distance,past3_time,past3_track_condition,past3_field_size,past3_umaban_in_race,past3_ninki,past3_jockey,past3_weight_carried,past3_corner_positions,past3_agari_3f,past3_horse_weight,past3_horse_weight_diff,past3_beaten_by,past3_birthday,past4_date,past4_venue,past4_finish,past4_race_name,past4_race_class,past4_surface_distance,past4_time,past4_track_condition,past4_field_size,past4_umaban_in_race,past4_ninki,past4_jockey,past4_weight_carried,past4_corner_positions,past4_agari_3f,past4_horse_weight,past4_horse_weight_diff,past4_beaten_by,past4_birthday,past5_date,past5_venue,past5_finish,past5_race_name,past5_race_class,past5_surface_distance,past5_time,past5_track_condition,past5_field_size,past5_umaban_in_race,past5_ninki,past5_jockey,past5_weight_carried,past5_corner_positions,past5_agari_3f,past5_horse_weight,past5_horse_weight_diff,past5_beaten_by,past5_birthday,speed_horse_id,speed_horse_name,speed_sex_age,speed_jockey,speed_max_index,speed_avg_index_5races,speed_max_distance_index,speed_max_course_index,speed_index_3races_ago,speed_index_2races_ago,speed_index_1race_ago,speed_odds,speed_ninki,speed_weight_carried,bias_horse_id,bias_horse_name,bias_sire,bias_sire_bloodline,bias_dam_sire,bias_dam_sire_bloodline,bias_sex_age,bias_weight_carried,bias_horse_weight,bias_jockey,bias_trainer,bias_win_odds,bias_ninki,ca_waku_category_label,ca_waku_win_1st,ca_waku_win_2nd,ca_waku_win_3rd,ca_waku_win_out,ca_waku_runs,ca_waku_win_rate,ca_waku_place2_rate,ca_waku_place3_rate,ca_waku_win_return_rate,ca_waku_place_return_rate,ca_waku_horse_id,ca_waku_horse_name,ca_running_style_category_label,ca_running_style_win_1st,ca_running_style_win_2nd,ca_running_style_win_3rd,ca_running_style_win_out,ca_running_style_runs,ca_running_style_win_rate,ca_running_style_place2_rate,ca_running_style_place3_rate,ca_running_style_win_return_rate,ca_running_style_place_return_rate,ca_running_style_horse_id,ca_running_style_horse_name,ca_jockey_category_label,ca_jockey_win_1st,ca_jockey_win_2nd,ca_jockey_win_3rd,ca_jockey_win_out,ca_jockey_runs,ca_jockey_win_rate,ca_jockey_place2_rate,ca_jockey_place3_rate,ca_jockey_win_return_rate,ca_jockey_place_return_rate,ca_jockey_horse_id,ca_jockey_horse_name,ca_trainer_category_label,ca_trainer_win_1st,ca_trainer_win_2nd,ca_trainer_win_3rd,ca_trainer_win_out,ca_trainer_runs,ca_trainer_win_rate,ca_trainer_place2_rate,ca_trainer_place3_rate,ca_trainer_win_return_rate,ca_trainer_place_return_rate,ca_trainer_horse_id,ca_trainer_horse_name,ca_sire_category_label,ca_sire_win_1st,ca_sire_win_2nd,ca_sire_win_3rd,ca_sire_win_out,ca_sire_runs,ca_sire_win_rate,ca_sire_place2_rate,ca_sire_place3_rate,ca_sire_win_return_rate,ca_sire_place_return_rate,ca_sire_horse_id,ca_sire_horse_name,ca_broodmare_sire_category_label,ca_broodmare_sire_win_1st,ca_broodmare_sire_win_2nd,ca_broodmare_sire_win_3rd,ca_broodmare_sire_win_out,ca_broodmare_sire_runs,ca_broodmare_sire_win_rate,ca_broodmare_sire_place2_rate,ca_broodmare_sire_place3_rate,ca_broodmare_sire_win_return_rate,ca_broodmare_sire_place_return_rate,ca_broodmare_sire_horse_id,ca_broodmare_sire_horse_name,concerned_category_label,concerned_horse_id,concerned_horse_name,concerned_win_1st,concerned_win_2nd,concerned_win_3rd,concerned_win_out,concerned_runs,concerned_win_rate,concerned_place2_rate,concerned_place3_rate,concerned_win_return_rate,concerned_place_return_rate,surf_ketto_training_category_label,surf_ketto_training_horse_id,surf_ketto_training_horse_name,surf_ketto_training_win_1st,surf_ketto_training_win_2nd,surf_ketto_training_win_3rd,surf_ketto_training_win_out,surf_ketto_training_runs,surf_ketto_training_win_rate,surf_ketto_training_place2_rate,surf_ketto_training_place3_rate,surf_ketto_training_win_return_rate,surf_ketto_training_place_return_rate,surf_ketto_comment_category_label,surf_ketto_comment_horse_id,surf_ketto_comment_horse_name,surf_ketto_comment_win_1st,surf_ketto_comment_win_2nd,surf_ketto_comment_win_3rd,surf_ketto_comment_win_out,surf_ketto_comment_runs,surf_ketto_comment_win_rate,surf_ketto_comment_place2_rate,surf_ketto_comment_place3_rate,surf_ketto_comment_win_return_rate,surf_ketto_comment_place_return_rate,surf_odds_jockey_category_label,surf_odds_jockey_horse_id,surf_odds_jockey_horse_name,surf_odds_jockey_win_1st,surf_odds_jockey_win_2nd,surf_odds_jockey_win_3rd,surf_odds_jockey_win_out,surf_odds_jockey_runs,surf_odds_jockey_win_rate,surf_odds_jockey_place2_rate,surf_odds_jockey_place3_rate,surf_odds_jockey_win_return_rate,surf_odds_jockey_place_return_rate,surf_jockey_trainer_category_label,surf_jockey_trainer_horse_id,surf_jockey_trainer_horse_name,surf_jockey_trainer_win_1st,surf_jockey_trainer_win_2nd,surf_jockey_trainer_win_3rd,surf_jockey_trainer_win_out,surf_jockey_trainer_runs,surf_jockey_trainer_win_rate,surf_jockey_trainer_place2_rate,surf_jockey_trainer_place3_rate,surf_jockey_trainer_win_return_rate,surf_jockey_trainer_place_return_rate,surf_jockey_owner_category_label,surf_jockey_owner_horse_id,surf_jockey_owner_horse_name,surf_jockey_owner_win_1st,surf_jockey_owner_win_2nd,surf_jockey_owner_win_3rd,surf_jockey_owner_win_out,surf_jockey_owner_runs,surf_jockey_owner_win_rate,surf_jockey_owner_place2_rate,surf_jockey_owner_place3_rate,surf_jockey_owner_win_return_rate,surf_jockey_owner_place_return_rate,surf_jockey_prevjockey_category_label,surf_jockey_prevjockey_horse_id,surf_jockey_prevjockey_horse_name,surf_jockey_prevjockey_win_1st,surf_jockey_prevjockey_win_2nd,surf_jockey_prevjockey_win_3rd,surf_jockey_prevjockey_win_out,surf_jockey_prevjockey_runs,surf_jockey_prevjockey_win_rate,surf_jockey_prevjockey_place2_rate,surf_jockey_prevjockey_place3_rate,surf_jockey_prevjockey_win_return_rate,surf_jockey_prevjockey_place_return_rate,mark_raw_立川,mark_raw_CP予想,mark_raw_マリア,mark_raw_馬場予想,mark_raw_中山,mark_honshi,mark_cp,mark_other,corner4_rank,corner4_gap_pct,corner4_gap_lengths,corner4_speedup,corner3_rank,corner3_gap_pct,corner3_gap_lengths
202655071802,1,2024103998,ムーンオブザクロス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024103998,ムーンオブザクロス,,田中直人,,,,,,,,,,,2024103998,ムーンオブザクロス,ベストウォーリア,ナスルーラ系,ハーツクライ,サンデーサイレンス系,牡2,55.0,472(),田中直人,土井道隆,20.0,7,1枠,15,17,12,107,151,9%,21%,29%,38%,59%,2024103998,ムーンオブザクロス,,0,0,0,0,0,0%,0%,0%,0%,0%,2024103998,ムーンオブザクロス,田中直人,4,7,6,63,80,5%,13%,21%,9%,42%,2024103998,ムーンオブザクロス,土井道隆,3,5,7,49,64,4%,12%,23%,36%,59%,2024103998,ムーンオブザクロス,ベストウォーリア,2,0,2,12,16,12%,12%,25%,49%,42%,2024103998,ムーンオブザクロス,,0,0,0,0,0,0%,0%,0%,0%,0%,2024103998,ムーンオブザクロス,,2024103998,ムーンオブザクロス,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,△,△,,,△,△,2,1.24,0.12,3,9,51.99,5.17
202655071802,2,2024108109,アオイイト,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024108109,アオイイト,,金山昇馬,,,,,,,,,,,2024108109,アオイイト,アレスバローズ,サンデーサイレンス系,オレハマッテルゼ,サンデーサイレンス系,牝2,54.0,434(),金山昇馬,池田忠好,6.4,2,2枠,18,15,21,101,155,11%,21%,34%,72%,86%,2024108109,アオイイト,,0,0,0,0,0,0%,0%,0%,0%,0%,2024108109,アオイイト,金山昇馬,6,11,11,62,90,6%,18%,31%,21%,55%,2024108109,アオイイト,池田忠好,14,15,15,56,100,14%,28%,44%,40%,86%,2024108109,アオイイト,アレスバローズ,1,2,2,11,16,6%,18%,31%,9%,94%,2024108109,アオイイト,,0,0,0,0,0,0%,0%,0%,0%,0%,2024108109,アオイイト,,2024108109,アオイイト,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,▲,,,△,△,,,○,6,46.12,4.59,1,5,35.82,3.56
202655071802,3,2024107137,プレアサンダー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024107137,プレアサンダー,,石川慎将,,,,,,,,,,,2024107137,プレアサンダー,サンダースノー,ノーザンダンサー系,シルバーチャーム,その他,牡2,55.0,479(),石川慎将,池田忠好,11.0,5,3枠,14,14,23,101,152,9%,18%,33%,32%,66%,2024107137,プレアサンダー,,0,0,0,0,0,0%,0%,0%,0%,0%,2024107137,プレアサンダー,石川慎将,17,9,16,39,81,20%,32%,51%,84%,98%,2024107137,プレアサンダー,池田忠好,14,15,15,56,100,14%,28%,44%,40%,86%,2024107137,プレアサンダー,サンダースノー,0,2,0,11,13,0%,15%,15%,0%,20%,2024107137,プレアサンダー,,0,0,0,0,0,0%,0%,0%,0%,0%,2024107137,プレアサンダー,,2024107137,プレアサンダー,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,,◎,○,◎,,,◎,7,47.27,4.7,2,7,43.69,4.34
202655071802,4,2024105662,ルミナスブーケ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024105662,ルミナスブーケ,,山口勲,,,,,,,,,,,2024105662,ルミナスブーケ,ホッコータルマエ,ネイティヴダンサー系,ハーツクライ,サンデーサイレンス系,牝2,54.0,433(),山口勲,三小田幸,1.8,1,4枠,14,13,17,110,154,9%,17%,28%,40%,62%,2024105662,ルミナスブーケ,,0,0,0,0,0,0%,0%,0%,0%,0%,2024105662,ルミナスブーケ,山口勲,16,8,11,30,65,24%,36%,53%,63%,69%,2024105662,ルミナスブーケ,三小田幸,6,8,3,47,64,9%,21%,26%,54%,54%,2024105662,ルミナスブーケ,ホッコータルマエ,4,5,1,4,14,28%,64%,71%,76%,121%,2024105662,ルミナスブーケ,,0,0,0,0,0,0%,0%,0%,0%,0%,2024105662,ルミナスブーケ,,2024105662,ルミナスブーケ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,◎,▲,○,◎,△,,▲,◎,4,29.43,2.93,2,3,31.7,3.15
202655071802,5,2024100845,レディボンボン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024100845,レディボンボン,,出水拓人,,,,,,,,,,,2024100845,レディボンボン,ニシケンモノノフ,ターントゥ系,キングカメハメハ,ネイティヴダンサー系,牝2,54.0,425(),出水拓人,石川浩文,51.9,10,5枠,16,21,16,137,190,8%,19%,27%,32%,54%,2024100845,レディボンボン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100845,レディボンボン,出水拓人,4,10,2,76,92,4%,15%,17%,24%,32%,2024100845,レディボンボン,石川浩文,3,3,4,29,39,7%,15%,25%,62%,64%,2024100845,レディボンボン,ニシケンモノノフ,1,1,0,3,5,20%,40%,40%,22%,50%,2024100845,レディボンボン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100845,レディボンボン,,2024100845,レディボンボン,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,▲,,,,,11,100.0,9.94,1,11,100.0,9.94
202655071802,6,2024104866,ラッピングフィルム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024104866,ラッピングフィルム,,後藤武蔵,,,,,,,,,,,2024104866,ラッピングフィルム,マインドユアビスケッツ,ノーザンダンサー系,ディープインパクト,サンデーサイレンス系,牝2,51.0,413(),後藤武蔵,真島二也,7.0,3,6枠,29,27,29,144,229,12%,24%,37%,77%,93%,2024104866,ラッピングフィルム,,0,0,0,0,0,0%,0%,0%,0%,0%,2024104866,ラッピングフィルム,後藤武蔵,1,2,0,0,3,33%,100%,100%,5240%,397%,2024104866,ラッピングフィルム,真島二也,3,0,0,0,3,100%,100%,100%,433%,127%,2024104866,ラッピングフィルム,マインドユアビスケッツ,3,0,1,6,10,30%,30%,40%,141%,60%,2024104866,ラッピングフィルム,,0,0,0,0,0,0%,0%,0%,0%,0%,2024104866,ラッピングフィルム,,2024104866,ラッピングフィルム,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,△,,,,○,,,▲,8,51.58,5.13,3,8,47.35,4.71
202655071802,7,2024103552,クラーケン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024103552,クラーケン,,椿聡太,,,,,,,,,,,2024103552,クラーケン,ビーチパトロール,ネイティヴダンサー系,シーキングザダイヤ,ノーザンダンサー系,牡2,52.0,438(),椿聡太,真島元徳,9.5,4,6枠,29,27,29,144,229,12%,24%,37%,77%,93%,2024103552,クラーケン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024103552,クラーケン,椿聡太,0,0,0,0,0,0%,0%,0%,0%,0%,2024103552,クラーケン,真島元徳,15,10,14,34,73,20%,34%,53%,62%,65%,2024103552,クラーケン,ビーチパトロール,1,1,2,14,18,5%,11%,22%,16%,16%,2024103552,クラーケン,,0,0,0,0,0,0%,0%,0%,0%,0%,2024103552,クラーケン,,2024103552,クラーケン,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,◎,△,,,,◎,,1,0.0,0.0,2,2,23.38,2.32
202655071802,8,2024100787,ワンダフルリング,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024100787,ワンダフルリング,,小松丈二,,,,,,,,,,,2024100787,ワンダフルリング,マクフィ,ネイティヴダンサー系,サクラバクシンオー,ナスルーラ系,牝2,54.0,410(),小松丈二,柳井宏之,18.3,6,7枠,19,25,18,185,247,7%,17%,25%,35%,46%,2024100787,ワンダフルリング,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100787,ワンダフルリング,小松丈二,5,3,2,35,45,11%,17%,22%,109%,51%,2024100787,ワンダフルリング,柳井宏之,6,5,6,66,83,7%,13%,20%,123%,59%,2024100787,ワンダフルリング,マクフィ,1,0,1,7,9,11%,11%,22%,31%,33%,2024100787,ワンダフルリング,,0,0,0,0,0,0%,0%,0%,0%,0%,2024100787,ワンダフルリング,,2024100787,ワンダフルリング,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,▲,,,○,9,59.69,5.93,2,4,35.68,3.55
202655071802,9,2024108076,プレアオンリー,,,,,,,,,,,,,,,,2026.05.23,佐賀,取,九州産ス(2歳),,ダ900 良,,,6,6,,金山昇馬,55.0,(0.0),,,,タカヨシ(0.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024108076,プレアオンリー,,川島拓,,,,,,,,,,,2024108076,プレアオンリー,ワンアンドオンリー,サンデーサイレンス系,シンボリクリスエス,ターントゥ系,牡2,55.0,458(),川島拓,池田忠好,72.3,11,7枠,19,25,18,185,247,7%,17%,25%,35%,46%,2024108076,プレアオンリー,追,14,19,20,241,294,4%,11%,18%,33%,50%,2024108076,プレアオンリー,川島拓,4,16,8,65,93,4%,21%,30%,26%,82%,2024108076,プレアオンリー,池田忠好,14,15,15,56,100,14%,28%,44%,40%,86%,2024108076,プレアオンリー,ワンアンドオンリー,0,0,0,1,1,0%,0%,0%,0%,0%,2024108076,プレアオンリー,,0,0,0,0,0,0%,0%,0%,0%,0%,2024108076,プレアオンリー,,2024108076,プレアオンリー,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,▲,,,,,,10,97.54,9.7,2,10,91.16,9.06
202655071802,10,2024109103,ソウニョウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024109103,ソウニョウ,,田中純,,,,,,,,,,,2024109103,ソウニョウ,カレンブラックヒル,サンデーサイレンス系,バゴ,ナスルーラ系,牡2,55.0,450(),田中純,山田義人,33.1,9,8枠,30,23,19,175,247,12%,21%,29%,167%,66%,2024109103,ソウニョウ,追,0,0,0,0,0,0%,0%,0%,0%,0%,2024109103,ソウニョウ,田中純,4,3,3,51,61,6%,11%,16%,224%,49%,2024109103,ソウニョウ,山田義人,1,0,1,22,24,4%,4%,8%,26%,11%,2024109103,ソウニョウ,カレンブラックヒル,2,3,1,4,10,20%,50%,60%,98%,99%,2024109103,ソウニョウ,,0,0,0,0,0,0%,0%,0%,0%,0%,2024109103,ソウニョウ,,2024109103,ソウニョウ,0,0,0,0,0,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,☆,,○,,5,46.09,4.58,3,6,36.07,3.59
