race_id,bet_type,rank,combination,payout,popularity
201906030301,単勝,1,6,350,1
201906030301,複勝,1,6,130,1
201906030301,複勝,2,4,180,2
201906030301,複勝,3,2,310,7
201906030301,枠連,1,2-3,640,1
201906030301,馬連,1,4-6,970,1
201906030301,ワイド,1,4-6,470,2
201906030301,ワイド,2,2-6,850,7
201906030301,ワイド,3,2-4,1150,13
201906030301,馬単,1,6-4,2080,2
201906030301,3連複,1,2-4-6,4070,9
201906030301,3連単,1,6-4-2,15400,15
201906030302,単勝,1,1,1210,6
201906030302,複勝,1,1,180,3
201906030302,複勝,2,5,190,4
201906030302,複勝,3,4,110,1
201906030302,枠連,1,1-3,2100,5
201906030302,馬連,1,1-5,4420,15
201906030302,ワイド,1,1-5,930,12
201906030302,ワイド,2,1-4,260,2
201906030302,ワイド,3,4-5,340,4
201906030302,馬単,1,1-5,9600,29
201906030302,3連複,1,1-4-5,1480,2
201906030302,3連単,1,1-5-4,23730,73
201906030303,単勝,1,1,210,1
201906030303,複勝,1,1,110,1
201906030303,複勝,2,10,420,8
201906030303,複勝,3,15,150,3
201906030303,枠連,1,1-5,840,3
201906030303,馬連,1,1-10,2520,8
201906030303,ワイド,1,1-10,900,10
201906030303,ワイド,2,1-15,300,2
201906030303,ワイド,3,10-15,1060,14
201906030303,馬単,1,1-10,3500,12
201906030303,3連複,1,1-10-15,2640,7
201906030303,3連単,1,1-10-15,14110,34
201906030304,単勝,1,5,270,2
201906030304,複勝,1,5,110,2
201906030304,複勝,2,10,110,1
201906030304,複勝,3,15,210,4
201906030304,枠連,1,3-5,190,1
201906030304,馬連,1,5-10,200,1
201906030304,ワイド,1,5-10,140,1
201906030304,ワイド,2,5-15,510,8
201906030304,ワイド,3,10-15,450,4
201906030304,馬単,1,5-10,450,2
201906030304,3連複,1,5-10-15,860,3
201906030304,3連単,1,5-10-15,2890,6
201906030305,単勝,1,1,250,1
201906030305,複勝,1,1,120,1
201906030305,複勝,2,14,210,4
201906030305,複勝,3,6,190,3
201906030305,枠連,1,1-8,400,1
201906030305,馬連,1,1-14,1290,4
201906030305,ワイド,1,1-14,520,4
201906030305,ワイド,2,1-6,400,2
201906030305,ワイド,3,6-14,970,13
201906030305,馬単,1,1-14,2020,5
201906030305,3連複,1,1-6-14,2720,8
201906030305,3連単,1,1-14-6,10640,25
201906030306,単勝,1,8,350,1
201906030306,複勝,1,8,150,1
201906030306,複勝,2,4,220,5
201906030306,複勝,3,6,180,4
201906030306,枠連,1,2-4,1510,6
201906030306,馬連,1,4-8,1390,6
201906030306,ワイド,1,4-8,460,5
201906030306,ワイド,2,6-8,360,2
201906030306,ワイド,3,4-6,650,8
201906030306,馬単,1,8-4,2200,6
201906030306,3連複,1,4-6-8,1890,4
201906030306,3連単,1,8-4-6,9670,17
201906030307,単勝,1,2,490,3
201906030307,複勝,1,2,170,3
201906030307,複勝,2,6,140,1
201906030307,複勝,3,3,250,6
201906030307,枠連,1,2-5,840,4
201906030307,馬連,1,2-6,840,2
201906030307,ワイド,1,2-6,320,2
201906030307,ワイド,2,2-3,700,11
201906030307,ワイド,3,3-6,570,6
201906030307,馬単,1,2-6,1770,4
201906030307,3連複,1,2-3-6,2290,7
201906030307,3連単,1,2-6-3,9800,23
201906030308,単勝,1,13,5100,10
201906030308,複勝,1,13,950,9
201906030308,複勝,2,15,170,2
201906030308,複勝,3,11,240,5
201906030308,枠連,1,7-8,4400,17
201906030308,馬連,1,13-15,12590,30
201906030308,ワイド,1,13-15,3640,33
201906030308,ワイド,2,11-13,5210,45
201906030308,ワイド,3,11-15,750,10
201906030308,馬単,1,13-15,36490,81
201906030308,3連複,1,11-13-15,25200,74
201906030308,3連単,1,13-15-11,227730,531
201906030309,単勝,1,3,640,3
201906030309,複勝,1,3,200,4
201906030309,複勝,2,4,150,2
