race_id,bet_type,rank,combination,payout,popularity
202630090201,単勝,1,2,600,4
202630090201,複勝,1,2,270,6
202630090201,複勝,2,6,180,3
202630090201,複勝,3,1,160,2
202630090201,枠連,1,2-5,1880,14
202630090201,馬連,1,2-6,1900,12
202630090201,ワイド,1,2-6,750,14
202630090201,ワイド,2,1-2,320,2
202630090201,ワイド,3,1-6,620,11
202630090201,馬単,1,2-6,3060,21
202630090201,3連複,1,1-2-6,1840,7
202630090201,3連単,1,2-6-1,10870,54
202630090202,単勝,1,9,110,1
202630090202,複勝,1,9,100,1
202630090202,複勝,2,11,260,5
202630090202,複勝,3,1,140,3
202630090202,枠連,1,7-8,780,4
202630090202,馬連,1,9-11,900,4
202630090202,ワイド,1,9-11,370,4
202630090202,ワイド,2,1-9,180,2
202630090202,ワイド,3,1-11,950,9
202630090202,馬単,1,9-11,1100,4
202630090202,3連複,1,1-9-11,1420,6
202630090202,3連単,1,9-11-1,3900,14
202630090203,単勝,1,1,160,1
202630090203,複勝,1,1,130,2
202630090203,複勝,2,11,370,7
202630090203,複勝,3,8,110,1
202630090203,枠連,1,1-8,1940,9
202630090203,馬連,1,1-11,5840,13
202630090203,ワイド,1,1-11,840,9
202630090203,ワイド,2,1-8,140,1
202630090203,ワイド,3,8-11,940,13
202630090203,馬単,1,1-11,5650,19
202630090203,3連複,1,1-8-11,1370,5
202630090203,3連単,1,1-11-8,9240,28
202630090204,単勝,1,6,180,1
202630090204,複勝,1,6,100,1
202630090204,複勝,2,8,220,5
202630090204,複勝,3,3,120,2
202630090204,枠連,1,6-7,670,2
202630090204,馬連,1,6-8,1470,5
202630090204,ワイド,1,6-8,390,4
202630090204,ワイド,2,3-6,140,1
202630090204,ワイド,3,3-8,680,10
202630090204,馬単,1,6-8,2180,6
202630090204,3連複,1,3-6-8,660,3
202630090204,3連単,1,6-8-3,5440,16
202630090205,単勝,1,6,240,2
202630090205,複勝,1,6,140,1
202630090205,複勝,2,7,360,4
202630090205,馬連,1,6-7,1110,5
202630090205,ワイド,1,6-7,440,5
202630090205,ワイド,2,5-6,260,3
202630090205,ワイド,3,5-7,560,7
202630090205,馬単,1,6-7,1980,8
202630090205,3連複,1,5-6-7,860,4
202630090205,3連単,1,6-7-5,5840,19
202630090206,単勝,1,10,220,1
202630090206,複勝,1,10,100,1
202630090206,複勝,2,5,170,3
202630090206,複勝,3,8,190,4
202630090206,枠連,1,5-7,390,2
202630090206,馬連,1,5-10,420,2
202630090206,ワイド,1,5-10,250,2
202630090206,ワイド,2,8-10,440,4
202630090206,ワイド,3,5-8,600,6
202630090206,馬単,1,10-5,640,2
202630090206,3連複,1,5-8-10,1040,3
202630090206,3連単,1,10-5-8,3070,6
202630090207,単勝,1,1,5040,7
202630090207,複勝,1,1,420,7
202630090207,複勝,2,6,100,1
202630090207,複勝,3,3,120,2
202630090207,馬連,1,1-6,3330,11
202630090207,ワイド,1,1-6,1010,11
202630090207,ワイド,2,1-3,1420,15
202630090207,ワイド,3,3-6,160,1
202630090207,馬単,1,1-6,11610,24
202630090207,3連複,1,1-3-6,2990,11
202630090207,3連単,1,1-6-3,38910,98
202630090208,単勝,1,7,190,1
202630090208,複勝,1,7,110,1
202630090208,複勝,2,11,190,5
202630090208,複勝,3,5,150,2
202630090208,枠連,1,6-8,890,5
202630090208,馬連,1,7-11,720,4
202630090208,ワイド,1,7-11,260,2
202630090208,ワイド,2,5-7,230,1
202630090208,ワイド,3,5-11,510,5
202630090208,馬単,1,7-11,1670,6
202630090208,3連複,1,5-7-11,720,1
202630090208,3連単,1,7-11-5,6100,19
202630090209,単勝,1,1,190,1
202630090209,複勝,1,1,110,1
202630090209,複勝,2,4,220,4
202630090209,複勝,3,9,460,7
202630090209,枠連,1,1-4,920,3
202630090209,馬連,1,1-4,1000,3
202630090209,ワイド,1,1-4,380,4
202630090209,ワイド,2,1-9,910,11
202630090209,ワイド,3,4-9,1890,18
202630090209,馬単,1,1-4,1260,5
202630090209,3連複,1,1-4-9,4870,19
202630090209,3連単,1,1-4-9,12060,37
202630090210,単勝,1,3,2020,6
202630090210,複勝,1,3,290,5
202630090210,複勝,2,10,140,2
202630090210,複勝,3,6,190,4
202630090210,枠連,1,3-8,1380,6
202630090210,馬連,1,3-10,1240,6
202630090210,ワイド,1,3-10,500,6
202630090210,ワイド,2,3-6,1080,14
202630090210,ワイド,3,6-10,370,4
202630090210,馬単,1,3-10,5560,19
202630090210,3連複,1,3-6-10,2170,8
202630090210,3連単,1,3-10-6,26460,88
202630090211,単勝,1,2,3870,7
202630090211,複勝,1,2,350,7
202630090211,複勝,2,9,110,2
202630090211,複勝,3,5,100,1
202630090211,枠連,1,2-8,1850,7
202630090211,馬連,1,2-9,2650,10
202630090211,ワイド,1,2-9,730,10
202630090211,ワイド,2,2-5,770,11
202630090211,ワイド,3,5-9,130,1
202630090211,馬単,1,2-9,9130,21
202630090211,3連複,1,2-5-9,1390,5
202630090211,3連単,1,2-9-5,24700,77
202630090212,単勝,1,9,580,2
202630090212,複勝,1,9,120,2
202630090212,複勝,2,4,100,1
202630090212,複勝,3,7,270,5
202630090212,枠連,1,4-8,170,1
202630090212,馬連,1,4-9,220,1
202630090212,ワイド,1,4-9,140,1
202630090212,ワイド,2,7-9,530,7
202630090212,ワイド,3,4-7,330,5
202630090212,馬単,1,9-4,1000,3
202630090212,3連複,1,4-7-9,640,2
202630090212,3連単,1,9-4-7,5300,19
202644090201,単勝,1,4,180,1
202644090201,複勝,1,4,110,1
202644090201,複勝,2,2,230,4
202644090201,複勝,3,10,180,3
202644090201,枠連,1,2-4,670,3
202644090201,馬連,1,2-4,720,3
202644090201,ワイド,1,2-4,340,3
202644090201,ワイド,2,4-10,240,2
202644090201,ワイド,3,2-10,780,9
202644090201,枠連,1,4-2,1120,3
202644090201,馬単,1,4-2,1000,3
202644090201,3連複,1,2-4-10,1980,3
202644090201,3連単,1,4-2-10,5430,8
202644090202,単勝,1,13,540,3
202644090202,複勝,1,13,180,4
202644090202,複勝,2,5,170,3
202644090202,複勝,3,2,130,1
202644090202,枠連,1,3-7,1420,6
202644090202,馬連,1,5-13,1630,7
202644090202,ワイド,1,5-13,580,7
202644090202,ワイド,2,2-13,420,4
202644090202,ワイド,3,2-5,400,3
202644090202,枠連,1,7-3,2220,9
202644090202,馬単,1,13-5,2730,11
202644090202,3連複,1,2-5-13,1320,2
202644090202,3連単,1,13-5-2,9370,20
202644090203,単勝,1,4,430,2
202644090203,複勝,1,4,150,2
202644090203,複勝,2,6,140,1
202644090203,馬連,1,4-6,430,1
202644090203,ワイド,1,4-6,240,2
202644090203,ワイド,2,1-4,270,4
202644090203,ワイド,3,1-6,190,1
202644090203,馬単,1,4-6,1120,4
202644090203,3連複,1,1-4-6,500,1
202644090203,3連単,1,4-6-1,2910,3
202644090204,単勝,1,5,10410,9
202644090204,複勝,1,5,810,10
202644090204,複勝,2,4,140,3
202644090204,複勝,3,11,110,1
202644090204,枠連,1,4-5,11350,22
202644090204,馬連,1,4-5,13650,26
202644090204,ワイド,1,4-5,2530,24
202644090204,ワイド,2,5-11,2060,21
202644090204,ワイド,3,4-11,260,2
202644090204,枠連,1,5-4,23580,38
202644090204,馬単,1,5-4,58690,63
202644090204,3連複,1,4-5-11,5820,21
202644090204,3連単,1,5-4-11,205110,305
202644090205,単勝,1,2,430,3
202644090205,複勝,1,2,210,3
202644090205,複勝,2,12,310,5
202644090205,複勝,3,8,1470,10
202644090205,枠連,1,2-8,840,5
202644090205,馬連,1,2-12,1450,7
202644090205,ワイド,1,2-12,620,9
202644090205,ワイド,2,2-8,2040,22
202644090205,ワイド,3,8-12,2510,27
202644090205,枠連,1,2-8,1580,8
202644090205,馬単,1,2-12,2470,10
202644090205,3連複,1,2-8-12,16880,50
202644090205,3連単,1,2-12-8,79850,221
202644090206,単勝,1,4,410,2
202644090206,複勝,1,4,150,2
202644090206,複勝,2,8,140,1
202644090206,複勝,3,5,260,6
202644090206,枠連,1,3-5,660,3
202644090206,馬連,1,4-8,830,1
202644090206,ワイド,1,4-8,360,2
202644090206,ワイド,2,4-5,630,7
202644090206,ワイド,3,5-8,610,6
202644090206,枠連,1,3-5,1610,5
202644090206,馬単,1,4-8,1550,2
202644090206,3連複,1,4-5-8,2420,4
202644090206,3連単,1,4-8-5,14370,23
202644090207,単勝,1,3,380,2
202644090207,複勝,1,3,200,3
202644090207,複勝,2,2,240,5
202644090207,複勝,3,8,180,2
202644090207,枠連,1,2-2,1890,8
202644090207,馬連,1,2-3,1860,10
202644090207,ワイド,1,2-3,800,11
202644090207,ワイド,2,3-8,440,4
202644090207,ワイド,3,2-8,700,10
202644090207,枠連,1,2-2,1720,7
202644090207,馬単,1,3-2,2610,7
202644090207,3連複,1,2-3-8,2660,7
202644090207,3連単,1,3-2-8,9780,18
202644090208,単勝,1,8,1190,5
202644090208,複勝,1,8,260,4
202644090208,複勝,2,3,320,6
202644090208,複勝,3,5,150,2
202644090208,枠連,1,3-6,2440,10
202644090208,馬連,1,3-8,3340,16
202644090208,ワイド,1,3-8,900,14
202644090208,ワイド,2,5-8,580,7
202644090208,ワイド,3,3-5,510,5
202644090208,枠連,1,6-3,5320,17
202644090208,馬単,1,8-3,8200,33
202644090208,3連複,1,3-5-8,3060,11
202644090208,3連単,1,8-3-5,33630,144
202644090209,単勝,1,4,350,1
202644090209,複勝,1,4,150,1
202644090209,複勝,2,10,350,7
202644090209,複勝,3,6,170,3
202644090209,枠連,1,4-7,410,2
202644090209,馬連,1,4-10,1970,9
202644090209,ワイド,1,4-10,780,9
202644090209,ワイド,2,4-6,370,2
202644090209,ワイド,3,6-10,820,11
202644090209,枠連,1,4-7,680,2
202644090209,馬単,1,4-10,3810,16
202644090209,3連複,1,4-6-10,2610,7
202644090209,3連単,1,4-10-6,15880,48
202644090210,単勝,1,4,900,2
202644090210,複勝,1,4,200,3
202644090210,複勝,2,9,1060,10
202644090210,複勝,3,1,100,1
202644090210,枠連,1,4-6,2240,7
202644090210,馬連,1,4-9,17680,28
202644090210,ワイド,1,4-9,3820,33
202644090210,ワイド,2,1-4,310,2
202644090210,ワイド,3,1-9,1470,16
202644090210,枠連,1,4-6,5040,15
202644090210,馬単,1,4-9,30370,45
202644090210,3連複,1,1-4-9,7120,22
202644090210,3連単,1,4-9-1,99640,210
202644090211,単勝,1,3,190,1
202644090211,複勝,1,3,120,1
202644090211,複勝,2,13,550,9
202644090211,複勝,3,8,150,2
202644090211,枠連,1,2-7,710,4
202644090211,馬連,1,3-13,4710,12
202644090211,ワイド,1,3-13,1210,13
202644090211,ワイド,2,3-8,230,2
202644090211,ワイド,3,8-13,1560,19
202644090211,枠連,1,2-7,1150,5
202644090211,馬単,1,3-13,5280,17
202644090211,3連複,1,3-8-13,3420,8
202644090211,3連単,1,3-13-8,21720,64
202644090212,単勝,1,8,1250,6
202644090212,複勝,1,8,230,6
202644090212,複勝,2,7,140,1
202644090212,複勝,3,6,180,4
202644090212,枠連,1,6-6,1660,7
202644090212,馬連,1,7-8,1360,5
202644090212,ワイド,1,7-8,420,4
202644090212,ワイド,2,6-8,760,10
202644090212,ワイド,3,6-7,360,2
202644090212,枠連,1,6-6,1710,9
202644090212,馬単,1,8-7,4470,19
202644090212,3連複,1,6-7-8,1890,6
202644090212,3連単,1,8-7-6,20760,67
202648090201,単勝,1,10,250,1
202648090201,複勝,1,10,120,1
202648090201,複勝,2,7,310,4
202648090201,複勝,3,2,310,5
202648090201,枠連,1,7-8,710,3
202648090201,馬連,1,7-10,1590,6
202648090201,ワイド,1,7-10,660,7
202648090201,ワイド,2,2-10,560,5
202648090201,ワイド,3,2-7,1080,15
202648090201,馬単,1,10-7,2620,10
202648090201,3連複,1,2-7-10,4980,19
202648090201,3連単,1,10-7-2,17690,68
202648090202,単勝,1,5,290,2
202648090202,複勝,1,5,120,2
202648090202,複勝,2,10,130,4
202648090202,複勝,3,1,130,3
202648090202,枠連,1,5-8,420,2
202648090202,馬連,1,5-10,530,3
202648090202,ワイド,1,5-10,250,4
