t_sec,checkpoint,umaban,rank_official,source,confidence
23,video_t23,1,1,video_frame_read,medium(vision-read)
23,video_t23,3,2,video_frame_read,medium(vision-read)
23,video_t23,13,3,video_frame_read,medium(vision-read)
23,video_t23,9,4,video_frame_read,medium(vision-read)
23,video_t23,2,5,video_frame_read,medium(vision-read)
23,video_t23,11,6,video_frame_read,medium(vision-read)
23,video_t23,4,7,video_frame_read,medium(vision-read)
23,video_t23,14,8,video_frame_read,medium(vision-read)
23,video_t23,5,9,video_frame_read,medium(vision-read)
23,video_t23,10,10,video_frame_read,medium(vision-read)
23,video_t23,6,11,video_frame_read,medium(vision-read)
23,video_t23,12,12,video_frame_read,medium(vision-read)
26,video_t26,1,1,video_frame_read,medium(vision-read)
26,video_t26,13,2,video_frame_read,medium(vision-read)
26,video_t26,3,3,video_frame_read,medium(vision-read)
26,video_t26,9,4,video_frame_read,medium(vision-read)
26,video_t26,2,5,video_frame_read,medium(vision-read)
26,video_t26,11,6,video_frame_read,medium(vision-read)
26,video_t26,7,7,video_frame_read,medium(vision-read)
26,video_t26,4,8,video_frame_read,medium(vision-read)
26,video_t26,14,9,video_frame_read,medium(vision-read)
26,video_t26,5,10,video_frame_read,medium(vision-read)
26,video_t26,10,11,video_frame_read,medium(vision-read)
26,video_t26,6,12,video_frame_read,medium(vision-read)
26,video_t26,12,13,video_frame_read,medium(vision-read)
29,video_t29,1,1,video_frame_read,medium(vision-read)
29,video_t29,13,2,video_frame_read,medium(vision-read)
29,video_t29,3,3,video_frame_read,medium(vision-read)
29,video_t29,9,4,video_frame_read,medium(vision-read)
29,video_t29,2,5,video_frame_read,medium(vision-read)
29,video_t29,11,6,video_frame_read,medium(vision-read)
29,video_t29,7,7,video_frame_read,medium(vision-read)
29,video_t29,4,8,video_frame_read,medium(vision-read)
29,video_t29,8,9,video_frame_read,medium(vision-read)
29,video_t29,14,10,video_frame_read,medium(vision-read)
29,video_t29,10,11,video_frame_read,medium(vision-read)
29,video_t29,6,12,video_frame_read,medium(vision-read)
29,video_t29,12,13,video_frame_read,medium(vision-read)
32,video_t32,1,1,video_frame_read,medium(vision-read)
32,video_t32,13,2,video_frame_read,medium(vision-read)
32,video_t32,3,3,video_frame_read,medium(vision-read)
32,video_t32,9,4,video_frame_read,medium(vision-read)
32,video_t32,7,5,video_frame_read,medium(vision-read)
32,video_t32,11,6,video_frame_read,medium(vision-read)
32,video_t32,4,7,video_frame_read,medium(vision-read)
32,video_t32,8,8,video_frame_read,medium(vision-read)
32,video_t32,14,9,video_frame_read,medium(vision-read)
32,video_t32,10,10,video_frame_read,medium(vision-read)
32,video_t32,6,11,video_frame_read,medium(vision-read)
32,video_t32,12,12,video_frame_read,medium(vision-read)
35,video_t35,1,1,video_frame_read,medium(vision-read)
35,video_t35,13,2,video_frame_read,medium(vision-read)
35,video_t35,2,3,video_frame_read,medium(vision-read)
35,video_t35,9,4,video_frame_read,medium(vision-read)
35,video_t35,7,5,video_frame_read,medium(vision-read)
