race_id,date,venue,race_name,source_folder,offset,n_kick_valid,n_dash_valid,status,added_at
202601010309,20260801,札幌,8/1 札幌9R 釧路湿原特別,8月1日札幌9R釧路湿原特別,3,17,3,validated,2026-08-18
202601010311,20260801,札幌,8/1 札幌11R STV賞,8月1日札幌11RSTV賞,2,18,0,validated,2026-08-18
202601010312,20260801,札幌,8/1 札幌12R 大倉山特別,8月1日札幌12R大倉山特別,4,16,3,validated,2026-08-18
202601010410,20260802,札幌,8/2 札幌10R ポプラステークス,8月2日札幌10Rポプラステークス,5,16,3,validated,2026-08-18
202601010411,20260802,札幌,8/2 札幌11R クイーンS,8月2日札幌11RクイーンS,0,15,4,validated,2026-08-18
202601010412,20260802,札幌,8/2 札幌12R 苫小牧特別,8月2日札幌12R苫小牧特別,3,14,0,validated,2026-08-18
202604020306,20260801,新潟,8/1 新潟6R 月岡温泉特別,8月1日新潟6R月岡温泉特別,2,23,3,validated,2026-08-18
202604020307,20260801,新潟,8/1 新潟7R 柳都ステークス,8月1日新潟7R柳都ステークス,2,18,3,validated,2026-08-18
202604020308,20260801,新潟,8/1 新潟8R 燕特別,8月1日新潟8R燕特別,3,25,2,validated,2026-08-18
202604020406,20260802,新潟,8/2 新潟6R 苗場特別,8月2日新潟6R苗場特別,4,16,3,validated,2026-08-18
202604020408,20260802,新潟,8/2 新潟8R 五頭連峰特別,8月2日8R五頭連峰特別,1,24,3,validated,2026-08-18
202607020306,20260801,中京,8/1 中京6R 桶狭間ステークス,8月1日中京6R桶狭間ステークス,2,17,0,validated,2026-08-18
202607020307,20260801,中京,8/1 中京7R 豊橋ステークス,8月1日中京7R豊橋ステークス,3,18,3,validated,2026-08-18
202607020308,20260801,中京,8/1 中京8R 日進特別,8月1日中京8R日進特別,3,16,3,validated,2026-08-18
202607020406,20260802,中京,8/2 中京6R 中京スポニチ賞,8月2日中京6R中京スポニチ賞,4,19,2,validated,2026-08-18
202607020407,20260802,中京,8/2 中京7R 名鉄杯,8月2日中京7R名鉄杯,4,17,3,validated,2026-08-18
202607020408,20260802,中京,8/2 中京8R 浜松特別,8月2日中京8R浜松特別,1,16,1,validated,2026-08-18
